U I1 I2 I3 I4 I5 I6 I7
-10.0 9.60e-01 4.03e-02 7.25e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.9 9.58e-01 4.16e-02 8.54e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.8 9.57e-01 4.31e-02 1.01e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.7 9.55e-01 4.48e-02 1.18e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.6 9.53e-01 4.67e-02 1.40e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.5 9.51e-01 4.88e-02 1.65e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.4 9.49e-01 5.12e-02 1.95e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.3 9.46e-01 5.39e-02 2.30e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.2 9.43e-01 5.70e-02 2.73e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.1 9.40e-01 6.04e-02 3.24e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.0 9.36e-01 6.42e-02 3.86e-05 1.05e-07 0.00e+00 0.00e+00 0.00e+00
-8.9 9.32e-01 6.84e-02 4.61e-05 1.27e-07 0.00e+00 0.00e+00 0.00e+00
-8.8 9.27e-01 7.32e-02 5.51e-05 1.54e-07 0.00e+00 0.00e+00 0.00e+00
-8.7 9.21e-01 7.85e-02 6.61e-05 1.87e-07 0.00e+00 0.00e+00 0.00e+00
-8.6 9.15e-01 8.44e-02 7.95e-05 2.28e-07 0.00e+00 0.00e+00 0.00e+00
-8.5 9.09e-01 9.10e-02 9.57e-05 2.78e-07 0.00e+00 0.00e+00 0.00e+00
-8.4 9.02e-01 9.84e-02 1.16e-04 3.40e-07 0.00e+00 0.00e+00 0.00e+00
-8.3 8.93e-01 1.06e-01 1.40e-04 4.17e-07 0.00e+00 0.00e+00 0.00e+00
-8.2 8.84e-01 1.15e-01 1.69e-04 5.12e-07 0.00e+00 0.00e+00 0.00e+00
-8.1 8.74e-01 1.25e-01 2.06e-04 6.29e-07 0.00e+00 0.00e+00 0.00e+00
-8.0 8.63e-01 1.36e-01 2.50e-04 7.74e-07 0.00e+00 0.00e+00 0.00e+00
-7.9 8.51e-01 1.48e-01 3.05e-04 9.54e-07 0.00e+00 0.00e+00 0.00e+00
-7.8 8.38e-01 1.62e-01 3.71e-04 1.18e-06 0.00e+00 0.00e+00 0.00e+00
-7.7 8.24e-01 1.76e-01 4.53e-04 1.45e-06 0.00e+00 0.00e+00 0.00e+00
-7.6 8.08e-01 1.92e-01 5.53e-04 1.79e-06 0.00e+00 0.00e+00 0.00e+00
-7.5 7.91e-01 2.09e-01 6.76e-04 2.22e-06 0.00e+00 0.00e+00 0.00e+00
-7.4 7.72e-01 2.27e-01 8.25e-04 2.74e-06 0.00e+00 0.00e+00 0.00e+00
-7.3 7.52e-01 2.47e-01 1.01e-03 3.39e-06 0.00e+00 0.00e+00 0.00e+00
-7.2 7.30e-01 2.68e-01 1.23e-03 4.19e-06 0.00e+00 0.00e+00 0.00e+00
-7.1 7.07e-01 2.91e-01 1.50e-03 5.18e-06 0.00e+00 0.00e+00 0.00e+00
-7.0 6.83e-01 3.15e-01 1.83e-03 6.40e-06 0.00e+00 0.00e+00 0.00e+00
-6.9 6.57e-01 3.41e-01 2.23e-03 7.91e-06 0.00e+00 0.00e+00 0.00e+00
-6.8 6.30e-01 3.68e-01 2.71e-03 9.77e-06 0.00e+00 0.00e+00 0.00e+00
-6.7 6.01e-01 3.95e-01 3.29e-03 1.21e-05 0.00e+00 0.00e+00 0.00e+00
-6.6 5.72e-01 4.24e-01 3.99e-03 1.49e-05 0.00e+00 0.00e+00 0.00e+00
-6.5 5.41e-01 4.54e-01 4.83e-03 1.84e-05 0.00e+00 0.00e+00 0.00e+00
-6.4 5.10e-01 4.84e-01 5.84e-03 2.27e-05 0.00e+00 0.00e+00 0.00e+00
-6.3 4.78e-01 5.15e-01 7.04e-03 2.80e-05 0.00e+00 0.00e+00 0.00e+00
-6.2 4.46e-01 5.46e-01 8.48e-03 3.47e-05 0.00e+00 0.00e+00 0.00e+00
-6.1 4.14e-01 5.76e-01 1.02e-02 4.29e-05 1.09e-06 0.00e+00 0.00e+00
-6.0 3.81e-01 6.06e-01 1.22e-02 5.31e-05 1.48e-06 0.00e+00 0.00e+00
-5.9 3.50e-01 6.36e-01 1.47e-02 6.59e-05 2.03e-06 0.00e+00 0.00e+00
-5.8 3.19e-01 6.64e-01 1.75e-02 8.19e-05 2.78e-06 0.00e+00 0.00e+00
-5.7 2.88e-01 6.90e-01 2.09e-02 1.02e-04 3.81e-06 0.00e+00 0.00e+00
-5.6 2.59e-01 7.16e-01 2.50e-02 1.28e-04 5.24e-06 0.00e+00 0.00e+00
-5.5 2.32e-01 7.38e-01 2.98e-02 1.61e-04 7.22e-06 0.00e+00 0.00e+00
-5.4 2.05e-01 7.59e-01 3.55e-02 2.04e-04 9.97e-06 0.00e+00 0.00e+00
-5.3 1.80e-01 7.77e-01 4.23e-02 2.60e-04 1.38e-05 0.00e+00 0.00e+00
-5.2 1.57e-01 7.92e-01 5.03e-02 3.33e-04 1.92e-05 0.00e+00 0.00e+00
-5.1 1.36e-01 8.04e-01 5.99e-02 4.30e-04 2.69e-05 0.00e+00 0.00e+00
-5.0 1.16e-01 8.12e-01 7.13e-02 5.61e-04 3.78e-05 0.00e+00 0.00e+00
-4.9 9.87e-02 8.16e-01 8.48e-02 7.38e-04 5.35e-05 0.00e+00 0.00e+00
-4.8 8.29e-02 8.15e-01 1.01e-01 9.79e-04 7.60e-05 0.00e+00 0.00e+00
-4.7 6.88e-02 8.10e-01 1.20e-01 1.31e-03 1.09e-04 0.00e+00 0.00e+00
-4.6 5.65e-02 7.99e-01 1.42e-01 1.77e-03 1.56e-04 0.00e+00 0.00e+00
-4.5 4.58e-02 7.83e-01 1.68e-01 2.42e-03 2.25e-04 0.00e+00 0.00e+00
-4.4 3.67e-02 7.61e-01 1.98e-01 3.32e-03 3.26e-04 0.00e+00 0.00e+00
-4.3 2.90e-02 7.33e-01 2.33e-01 4.57e-03 4.74e-04 0.00e+00 0.00e+00
-4.2 2.26e-02 6.99e-01 2.72e-01 6.33e-03 6.90e-04 0.00e+00 0.00e+00
-4.1 1.73e-02 6.59e-01 3.14e-01 8.75e-03 1.01e-03 8.72e-07 0.00e+00
-4.0 1.31e-02 6.13e-01 3.60e-01 1.21e-02 1.46e-03 1.56e-06 0.00e+00
-3.9 9.70e-03 5.63e-01 4.09e-01 1.66e-02 2.13e-03 2.79e-06 0.00e+00
-3.8 7.08e-03 5.09e-01 4.58e-01 2.27e-02 3.09e-03 5.01e-06 0.00e+00
-3.7 5.08e-03 4.53e-01 5.06e-01 3.07e-02 4.46e-03 8.97e-06 0.00e+00
-3.6 3.58e-03 3.97e-01 5.52e-01 4.12e-02 6.43e-03 1.60e-05 0.00e+00
-3.5 2.48e-03 3.42e-01 5.92e-01 5.45e-02 9.24e-03 2.86e-05 0.00e+00
-3.4 1.68e-03 2.90e-01 6.24e-01 7.11e-02 1.32e-02 5.09e-05 0.00e+00
-3.3 1.12e-03 2.41e-01 6.48e-01 9.15e-02 1.88e-02 9.02e-05 0.00e+00
-3.2 7.34e-04 1.97e-01 6.60e-01 1.16e-01 2.67e-02 1.59e-04 0.00e+00
-3.1 4.71e-04 1.58e-01 6.60e-01 1.44e-01 3.77e-02 2.81e-04 0.00e+00
-3.0 2.95e-04 1.24e-01 6.47e-01 1.76e-01 5.27e-02 4.91e-04 0.00e+00
-2.9 1.81e-04 9.48e-02 6.20e-01 2.11e-01 7.32e-02 8.51e-04 1.79e-06
-2.8 1.08e-04 7.09e-02 5.81e-01 2.46e-01 1.00e-01 1.46e-03 3.83e-06
-2.7 6.29e-05 5.16e-02 5.30e-01 2.81e-01 1.36e-01 2.47e-03 8.08e-06
-2.6 3.55e-05 3.65e-02 4.69e-01 3.11e-01 1.80e-01 4.09e-03 1.68e-05
-2.5 1.93e-05 2.49e-02 4.02e-01 3.34e-01 2.33e-01 6.64e-03 3.41e-05
-2.4 1.02e-05 1.65e-02 3.33e-01 3.47e-01 2.93e-01 1.05e-02 6.75e-05
-2.3 5.16e-06 1.05e-02 2.66e-01 3.48e-01 3.59e-01 1.62e-02 1.30e-04
