U I1 I2 I3
-10.0 9.98e-01 1.52e-03 5.70e-08
-9.9 9.98e-01 1.80e-03 7.76e-08
-9.8 9.98e-01 2.13e-03 1.05e-07
-9.7 9.97e-01 2.50e-03 1.41e-07
-9.6 9.97e-01 2.93e-03 1.88e-07
-9.5 9.97e-01 3.42e-03 2.50e-07
-9.4 9.96e-01 3.98e-03 3.31e-07
-9.3 9.95e-01 4.63e-03 4.36e-07
-9.2 9.95e-01 5.35e-03 5.72e-07
-9.1 9.94e-01 6.18e-03 7.48e-07
-9.0 9.93e-01 7.11e-03 9.74e-07
-8.9 9.92e-01 8.17e-03 1.26e-06
-8.8 9.91e-01 9.36e-03 1.64e-06
-8.7 9.89e-01 1.07e-02 2.11e-06
-8.6 9.88e-01 1.22e-02 2.72e-06
-8.5 9.86e-01 1.39e-02 3.49e-06
-8.4 9.84e-01 1.58e-02 4.47e-06
-8.3 9.82e-01 1.80e-02 5.72e-06
-8.2 9.80e-01 2.04e-02 7.31e-06
-8.1 9.77e-01 2.31e-02 9.32e-06
-8.0 9.74e-01 2.61e-02 1.19e-05
-7.9 9.70e-01 2.95e-02 1.51e-05
-7.8 9.67e-01 3.33e-02 1.92e-05
-7.7 9.62e-01 3.76e-02 2.44e-05
-7.6 9.58e-01 4.23e-02 3.09e-05
-7.5 9.52e-01 4.77e-02 3.92e-05
-7.4 9.46e-01 5.36e-02 4.96e-05
-7.3 9.40e-01 6.02e-02 6.28e-05
-7.2 9.32e-01 6.76e-02 7.95e-05
-7.1 9.24e-01 7.58e-02 1.00e-04
-7.0 9.15e-01 8.50e-02 1.27e-04
-6.9 9.05e-01 9.51e-02 1.61e-04
-6.8 8.93e-01 1.06e-01 2.03e-04
-6.7 8.81e-01 1.19e-01 2.56e-04
-6.6 8.67e-01 1.33e-01 3.23e-04
-6.5 8.52e-01 1.48e-01 4.08e-04
-6.4 8.35e-01 1.65e-01 5.15e-04
-6.3 8.16e-01 1.83e-01 6.51e-04
-6.2 7.96e-01 2.03e-01 8.21e-04
-6.1 7.73e-01 2.26e-01 1.04e-03
-6.0 7.49e-01 2.50e-01 1.31e-03
-5.9 7.23e-01 2.76e-01 1.65e-03
-5.8 6.94e-01 3.04e-01 2.09e-03
-5.7 6.63e-01 3.34e-01 2.63e-03
-5.6 6.31e-01 3.66e-01 3.32e-03
-5.5 5.96e-01 4.00e-01 4.19e-03
-5.4 5.59e-01 4.36e-01 5.29e-03
-5.3 5.21e-01 4.73e-01 6.68e-03
-5.2 4.81e-01 5.10e-01 8.42e-03
-5.1 4.41e-01 5.49e-01 1.06e-02
-5.0 4.00e-01 5.87e-01 1.34e-02
-4.9 3.59e-01 6.24e-01 1.68e-02
-4.8 3.19e-01 6.60e-01 2.12e-02
-4.7 2.80e-01 6.93e-01 2.66e-02
-4.6 2.43e-01 7.24e-01 3.33e-02
-4.5 2.09e-01 7.50e-01 4.17e-02
-4.4 1.77e-01 7.71e-01 5.21e-02
-4.3 1.48e-01 7.87e-01 6.48e-02
-4.2 1.22e-01 7.97e-01 8.03e-02
-4.1 1.00e-01 8.01e-01 9.90e-02
-4.0 8.09e-02 7.98e-01 1.22e-01
-3.9 6.46e-02 7.87e-01 1.48e-01
-3.8 5.10e-02 7.70e-01 1.79e-01
-3.7 3.97e-02 7.45e-01 2.16e-01
-3.6 3.06e-02 7.13e-01 2.56e-01
-3.5 2.32e-02 6.75e-01 3.02e-01
-3.4 1.74e-02 6.31e-01 3.52e-01
-3.3 1.29e-02 5.82e-01 4.05e-01
-3.2 9.41e-03 5.30e-01 4.60e-01
-3.1 6.77e-03 4.76e-01 5.17e-01
-3.0 4.80e-03 4.23e-01 5.73e-01
-2.9 3.36e-03 3.70e-01 6.27e-01
-2.8 2.32e-03 3.20e-01 6.78e-01
-2.7 1.58e-03 2.73e-01 7.25e-01
-2.6 1.07e-03 2.31e-01 7.68e-01
-2.5 7.11e-04 1.93e-01 8.06e-01
-2.4 4.70e-04 1.60e-01 8.39e-01
-2.3 3.08e-04 1.32e-01 8.68e-01
-2.2 2.00e-04 1.08e-01 8.92e-01
-2.1 1.30e-04 8.80e-02 9.12e-01
-2.0 8.33e-05 7.13e-02 9.29e-01
-1.9 5.33e-05 5.75e-02 9.42e-01
-1.8 3.40e-05 4.63e-02 9.54e-01
-1.7 2.16e-05 3.72e-02 9.63e-01
-1.6 1.37e-05 2.98e-02 9.70e-01
-1.5 8.63e-06 2.38e-02 9.76e-01
-1.4 5.43e-06 1.90e-02 9.81e-01
-1.3 3.41e-06 1.52e-02 9.85e-01
-1.2 2.13e-06 1.21e-02 9.88e-01
-1.1 1.33e-06 9.64e-03 9.90e-01
-1.0 8.30e-07 7.68e-03 9.92e-01
-0.9 5.16e-07 6.11e-03 9.94e-01
-0.8 3.20e-07 4.86e-03 9.95e-01
-0.7 1.98e-07 3.86e-03 9.96e-01
-0.6 1.23e-07 3.07e-03 9.97e-01
-0.5 7.60e-08 2.44e-03 9.98e-01
-0.4 4.70e-08 1.94e-03 9.98e-01
-0.3 2.91e-08 1.54e-03 9.98e-01
-0.2 1.80e-08 1.23e-03 9.99e-01
-0.1 1.12e-08 9.74e-04 9.99e-01
0.0 6.96e-09 7.73e-04 9.99e-01
0.1 4.33e-09 6.14e-04 9.99e-01
0.2 2.70e-09 4.88e-04 1.00e+00
0.3 1.69e-09 3.87e-04 1.00e+00
0.4 1.06e-09 3.07e-04 1.00e+00
0.5 6.61e-10 2.44e-04 1.00e+00
0.6 4.14e-10 1.94e-04 1.00e+00
0.7 2.60e-10 1.54e-04 1.00e+00
0.8 1.63e-10 1.22e-04 1.00e+00
0.9 1.02e-10 9.66e-05 1.00e+00
1.0 6.43e-11 7.66e-05 1.00e+00
1.1 4.04e-11 6.07e-05 1.00e+00
1.2 2.54e-11 4.81e-05 1.00e+00
1.3 1.60e-11 3.82e-05 1.00e+00
1.4 1.00e-11 3.03e-05 1.00e+00
1.5 6.32e-12 2.40e-05 1.00e+00
1.6 3.97e-12 1.90e-05 1.00e+00
1.7 2.50e-12 1.51e-05 1.00e+00
1.8 1.57e-12 1.20e-05 1.00e+00
1.9 9.89e-13 9.49e-06 1.00e+00
2.0 6.23e-13 7.52e-06 1.00e+00
2.1 3.92e-13 5.96e-06 1.00e+00
2.2 2.47e-13 4.73e-06 1.00e+00
2.3 1.55e-13 3.75e-06 1.00e+00
2.4 9.77e-14 2.97e-06 1.00e+00
2.5 6.16e-14 2.36e-06 1.00e+00
2.6 3.88e-14 1.87e-06 1.00e+00
2.7 2.45e-14 1.49e-06 1.00e+00
2.8 1.55e-14 1.18e-06 1.00e+00
2.9 9.81e-15 9.39e-07 1.00e+00
3.0 6.22e-15 7.48e-07 1.00e+00
3.1 3.95e-15 5.96e-07 1.00e+00
3.2 2.52e-15 4.76e-07 1.00e+00
3.3 1.61e-15 3.81e-07 1.00e+00
3.4 1.03e-15 3.05e-07 1.00e+00
3.5 6.58e-16 2.45e-07 1.00e+00
3.6 4.23e-16 1.97e-07 1.00e+00
3.7 2.73e-16 1.59e-07 1.00e+00
3.8 1.76e-16 1.28e-07 1.00e+00
