U I1 I2
-10.0 9.96e-01 4.05e-03
-9.9 9.96e-01 4.44e-03
-9.8 9.95e-01 4.87e-03
-9.7 9.95e-01 5.36e-03
-9.6 9.94e-01 5.90e-03
-9.5 9.93e-01 6.52e-03
-9.4 9.93e-01 7.21e-03
-9.3 9.92e-01 7.99e-03
-9.2 9.91e-01 8.86e-03
-9.1 9.90e-01 9.83e-03
-9.0 9.89e-01 1.09e-02
-8.9 9.88e-01 1.22e-02
-8.8 9.86e-01 1.35e-02
-8.7 9.85e-01 1.51e-02
-8.6 9.83e-01 1.68e-02
-8.5 9.81e-01 1.87e-02
-8.4 9.79e-01 2.09e-02
-8.3 9.77e-01 2.33e-02
-8.2 9.74e-01 2.60e-02
-8.1 9.71e-01 2.91e-02
-8.0 9.68e-01 3.25e-02
-7.9 9.64e-01 3.63e-02
-7.8 9.60e-01 4.05e-02
-7.7 9.55e-01 4.52e-02
-7.6 9.49e-01 5.05e-02
-7.5 9.44e-01 5.64e-02
-7.4 9.37e-01 6.30e-02
-7.3 9.30e-01 7.03e-02
-7.2 9.22e-01 7.84e-02
-7.1 9.13e-01 8.74e-02
-7.0 9.03e-01 9.75e-02
-6.9 8.91e-01 1.09e-01
-6.8 8.79e-01 1.21e-01
-6.7 8.65e-01 1.35e-01
-6.6 8.50e-01 1.50e-01
-6.5 8.34e-01 1.66e-01
-6.4 8.16e-01 1.84e-01
-6.3 7.96e-01 2.04e-01
-6.2 7.74e-01 2.26e-01
-6.1 7.51e-01 2.49e-01
-6.0 7.25e-01 2.75e-01
-5.9 6.98e-01 3.02e-01
-5.8 6.68e-01 3.32e-01
-5.7 6.37e-01 3.63e-01
-5.6 6.03e-01 3.97e-01
-5.5 5.68e-01 4.32e-01
-5.4 5.32e-01 4.68e-01
-5.3 4.94e-01 5.06e-01
-5.2 4.55e-01 5.45e-01
-5.1 4.16e-01 5.84e-01
-5.0 3.76e-01 6.24e-01
-4.9 3.38e-01 6.62e-01
-4.8 3.00e-01 7.00e-01
-4.7 2.64e-01 7.36e-01
-4.6 2.30e-01 7.70e-01
-4.5 1.98e-01 8.02e-01
-4.4 1.69e-01 8.31e-01
-4.3 1.43e-01 8.57e-01
-4.2 1.20e-01 8.80e-01
-4.1 9.98e-02 9.00e-01
-4.0 8.26e-02 9.17e-01
-3.9 6.79e-02 9.32e-01
-3.8 5.55e-02 9.44e-01
-3.7 4.52e-02 9.55e-01
-3.6 3.67e-02 9.63e-01
-3.5 2.97e-02 9.70e-01
-3.4 2.40e-02 9.76e-01
-3.3 1.93e-02 9.81e-01
-3.2 1.55e-02 9.84e-01
-3.1 1.25e-02 9.88e-01
-3.0 1.00e-02 9.90e-01
-2.9 8.01e-03 9.92e-01
-2.8 6.41e-03 9.94e-01
-2.7 5.13e-03 9.95e-01
-2.6 4.10e-03 9.96e-01
-2.5 3.27e-03 9.97e-01
-2.4 2.61e-03 9.97e-01
-2.3 2.08e-03 9.98e-01
-2.2 1.66e-03 9.98e-01
-2.1 1.32e-03 9.99e-01
-2.0 1.05e-03 9.99e-01
-1.9 8.35e-04 9.99e-01
-1.8 6.64e-04 9.99e-01
-1.7 5.28e-04 9.99e-01
-1.6 4.20e-04 1.00e+00
-1.5 3.34e-04 1.00e+00
-1.4 2.66e-04 1.00e+00
-1.3 2.11e-04 1.00e+00
-1.2 1.68e-04 1.00e+00
-1.1 1.33e-04 1.00e+00
-1.0 1.06e-04 1.00e+00
-0.9 8.42e-05 1.00e+00
-0.8 6.69e-05 1.00e+00
-0.7 5.31e-05 1.00e+00
-0.6 4.22e-05 1.00e+00
-0.5 3.35e-05 1.00e+00
-0.4 2.66e-05 1.00e+00
-0.3 2.12e-05 1.00e+00
-0.2 1.68e-05 1.00e+00
-0.1 1.34e-05 1.00e+00
0.0 1.06e-05 1.00e+00
0.1 8.43e-06 1.00e+00
0.2 6.70e-06 1.00e+00
0.3 5.32e-06 1.00e+00
0.4 4.23e-06 1.00e+00
0.5 3.36e-06 1.00e+00
0.6 2.67e-06 1.00e+00
0.7 2.12e-06 1.00e+00
0.8 1.68e-06 1.00e+00
0.9 1.34e-06 1.00e+00
1.0 1.06e-06 1.00e+00
1.1 8.42e-07 1.00e+00
1.2 6.69e-07 1.00e+00
1.3 5.31e-07 1.00e+00
