U I1 I2 I3 I4 I5 I6 I7 I8
-10.0 9.93e-01 6.84e-03 4.76e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.9 9.92e-01 7.70e-03 5.85e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.8 9.91e-01 8.67e-03 7.20e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.7 9.90e-01 9.76e-03 8.87e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.6 9.89e-01 1.10e-02 1.09e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.5 9.88e-01 1.23e-02 1.35e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.4 9.86e-01 1.39e-02 1.67e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.3 9.84e-01 1.56e-02 2.06e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.2 9.82e-01 1.76e-02 2.56e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.1 9.80e-01 1.98e-02 3.17e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.0 9.78e-01 2.22e-02 3.94e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.9 9.75e-01 2.50e-02 4.89e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.8 9.72e-01 2.80e-02 6.09e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.7 9.68e-01 3.15e-02 7.59e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.6 9.65e-01 3.53e-02 9.46e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.5 9.60e-01 3.96e-02 1.18e-04 5.94e-08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.4 9.55e-01 4.45e-02 1.47e-04 7.61e-08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.3 9.50e-01 4.98e-02 1.84e-04 9.77e-08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.2 9.44e-01 5.58e-02 2.30e-04 1.26e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.1 9.37e-01 6.25e-02 2.87e-04 1.61e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.0 9.30e-01 6.99e-02 3.59e-04 2.08e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.9 9.21e-01 7.82e-02 4.49e-04 2.68e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.8 9.12e-01 8.73e-02 5.62e-04 3.46e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.7 9.02e-01 9.74e-02 7.02e-04 4.47e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.6 8.91e-01 1.09e-01 8.77e-04 5.79e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.5 8.78e-01 1.21e-01 1.10e-03 7.51e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.4 8.64e-01 1.34e-01 1.37e-03 9.76e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.3 8.49e-01 1.49e-01 1.71e-03 1.27e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.2 8.33e-01 1.65e-01 2.13e-03 1.66e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.1 8.14e-01 1.83e-01 2.65e-03 2.17e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.0 7.95e-01 2.02e-01 3.29e-03 2.84e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.9 7.73e-01 2.23e-01 4.09e-03 3.73e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.8 7.50e-01 2.45e-01 5.07e-03 4.92e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.7 7.25e-01 2.68e-01 6.28e-03 6.49e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.6 6.99e-01 2.93e-01 7.76e-03 8.58e-06 8.21e-08 0.00e+00 0.00e+00 0.00e+00
-6.5 6.71e-01 3.20e-01 9.58e-03 1.14e-05 1.15e-07 0.00e+00 0.00e+00 0.00e+00
-6.4 6.41e-01 3.48e-01 1.18e-02 1.51e-05 1.61e-07 0.00e+00 0.00e+00 0.00e+00
-6.3 6.09e-01 3.76e-01 1.45e-02 2.02e-05 2.25e-07 0.00e+00 0.00e+00 0.00e+00
-6.2 5.76e-01 4.06e-01 1.78e-02 2.69e-05 3.15e-07 0.00e+00 0.00e+00 0.00e+00
-6.1 5.42e-01 4.36e-01 2.18e-02 3.60e-05 4.40e-07 0.00e+00 0.00e+00 0.00e+00
-6.0 5.06e-01 4.67e-01 2.65e-02 4.83e-05 6.15e-07 0.00e+00 0.00e+00 0.00e+00
-5.9 4.70e-01 4.97e-01 3.23e-02 6.50e-05 8.59e-07 0.00e+00 0.00e+00 0.00e+00
-5.8 4.34e-01 5.27e-01 3.92e-02 8.76e-05 1.20e-06 0.00e+00 0.00e+00 0.00e+00
-5.7 3.97e-01 5.56e-01 4.75e-02 1.18e-04 1.68e-06 0.00e+00 0.00e+00 0.00e+00
-5.6 3.60e-01 5.82e-01 5.74e-02 1.60e-04 2.34e-06 0.00e+00 0.00e+00 0.00e+00
-5.5 3.24e-01 6.07e-01 6.90e-02 2.18e-04 3.28e-06 0.00e+00 0.00e+00 0.00e+00
-5.4 2.88e-01 6.28e-01 8.29e-02 2.97e-04 4.59e-06 0.00e+00 0.00e+00 0.00e+00
-5.3 2.54e-01 6.46e-01 9.91e-02 4.05e-04 6.43e-06 0.00e+00 0.00e+00 0.00e+00
-5.2 2.22e-01 6.60e-01 1.18e-01 5.54e-04 9.03e-06 0.00e+00 0.00e+00 0.00e+00
-5.1 1.91e-01 6.68e-01 1.40e-01 7.60e-04 1.27e-05 0.00e+00 0.00e+00 0.00e+00
-5.0 1.62e-01 6.71e-01 1.66e-01 1.04e-03 1.79e-05 0.00e+00 0.00e+00 0.00e+00
-4.9 1.36e-01 6.67e-01 1.95e-01 1.44e-03 2.54e-05 0.00e+00 0.00e+00 0.00e+00
-4.8 1.12e-01 6.57e-01 2.29e-01 1.98e-03 3.59e-05 0.00e+00 0.00e+00 0.00e+00
-4.7 9.14e-02 6.39e-01 2.66e-01 2.73e-03 5.10e-05 0.00e+00 0.00e+00 0.00e+00
-4.6 7.31e-02 6.15e-01 3.08e-01 3.77e-03 7.26e-05 1.15e-06 0.00e+00 0.00e+00
-4.5 5.74e-02 5.84e-01 3.53e-01 5.18e-03 1.04e-04 1.92e-06 0.00e+00 0.00e+00
-4.4 4.42e-02 5.47e-01 4.01e-01 7.10e-03 1.48e-04 3.20e-06 0.00e+00 0.00e+00
-4.3 3.35e-02 5.05e-01 4.51e-01 9.68e-03 2.11e-04 5.34e-06 0.00e+00 0.00e+00
-4.2 2.49e-02 4.59e-01 5.02e-01 1.31e-02 3.03e-04 8.92e-06 0.00e+00 0.00e+00
-4.1 1.81e-02 4.11e-01 5.52e-01 1.77e-02 4.34e-04 1.49e-05 0.00e+00 0.00e+00
-4.0 1.29e-02 3.63e-01 6.00e-01 2.36e-02 6.22e-04 2.47e-05 0.00e+00 0.00e+00
-3.9 9.09e-03 3.15e-01 6.44e-01 3.12e-02 8.94e-04 4.08e-05 0.00e+00 0.00e+00
-3.8 6.27e-03 2.69e-01 6.82e-01 4.09e-02 1.29e-03 6.72e-05 0.00e+00 0.00e+00
-3.7 4.26e-03 2.27e-01 7.14e-01 5.30e-02 1.85e-03 1.10e-04 0.00e+00 0.00e+00
-3.6 2.85e-03 1.89e-01 7.38e-01 6.80e-02 2.68e-03 1.80e-04 0.00e+00 0.00e+00
-3.5 1.88e-03 1.55e-01 7.53e-01 8.63e-02 3.87e-03 2.92e-04 0.00e+00 0.00e+00
-3.4 1.22e-03 1.25e-01 7.59e-01 1.08e-01 5.60e-03 4.72e-04 6.24e-07 0.00e+00
-3.3 7.80e-04 1.00e-01 7.56e-01 1.34e-01 8.10e-03 7.61e-04 1.25e-06 0.00e+00
-3.2 4.92e-04 7.87e-02 7.43e-01 1.65e-01 1.17e-02 1.22e-03 2.50e-06 0.00e+00
-3.1 3.06e-04 6.11e-02 7.20e-01 1.99e-01 1.68e-02 1.96e-03 4.99e-06 0.00e+00
-3.0 1.87e-04 4.67e-02 6.88e-01 2.38e-01 2.41e-02 3.13e-03 9.94e-06 0.00e+00
-2.9 1.12e-04 3.51e-02 6.46e-01 2.79e-01 3.42e-02 4.97e-03 1.97e-05 0.00e+00
-2.8 6.62e-05 2.58e-02 5.96e-01 3.22e-01 4.80e-02 7.86e-03 3.90e-05 0.00e+00
-2.7 3.82e-05 1.86e-02 5.38e-01 3.65e-01 6.64e-02 1.24e-02 7.66e-05 0.00e+00
-2.6 2.15e-05 1.31e-02 4.74e-01 4.03e-01 9.01e-02 1.92e-02 1.49e-04 0.00e+00
-2.5 1.17e-05 8.99e-03 4.08e-01 4.34e-01 1.20e-01 2.96e-02 2.88e-04 0.00e+00
-2.4 6.24e-06 5.97e-03 3.40e-01 4.54e-01 1.55e-01 4.47e-02 5.46e-04 1.38e-06
-2.3 3.20e-06 3.84e-03 2.74e-01 4.59e-01 1.95e-01 6.64e-02 1.02e-03 3.21e-06
-2.2 1.58e-06 2.38e-03 2.13e-01 4.49e-01 2.38e-01 9.61e-02 1.85e-03 7.31e-06
-2.1 7.53e-07 1.42e-03 1.60e-01 4.22e-01 2.79e-01 1.35e-01 3.26e-03 1.62e-05
-2.0 3.44e-07 8.09e-04 1.15e-01 3.80e-01 3.14e-01 1.84e-01 5.59e-03 3.49e-05
-1.9 1.50e-07 4.43e-04 7.88e-02 3.29e-01 3.40e-01 2.43e-01 9.25e-03 7.26e-05
-1.8 6.29e-08 2.32e-04 5.18e-02 2.72e-01 3.52e-01 3.08e-01 1.48e-02 1.46e-04
-1.7 2.52e-08 1.16e-04 3.27e-02 2.16e-01 3.51e-01 3.78e-01 2.27e-02 2.82e-04
-1.6 9.72e-09 5.60e-05 1.98e-02 1.64e-01 3.35e-01 4.46e-01 3.38e-02 5.26e-04
-1.5 3.60e-09 2.60e-05 1.16e-02 1.21e-01 3.09e-01 5.09e-01 4.85e-02 9.51e-04
-1.4 1.29e-09 1.16e-05 6.51e-03 8.55e-02 2.75e-01 5.64e-01 6.76e-02 1.67e-03
-1.3 4.48e-10 5.04e-06 3.55e-03 5.87e-02 2.37e-01 6.06e-01 9.14e-02 2.84e-03
-1.2 1.51e-10 2.12e-06 1.88e-03 3.91e-02 1.99e-01 6.35e-01 1.20e-01 4.70e-03
-1.1 4.94e-11 8.70e-07 9.71e-04 2.54e-02 1.62e-01 6.49e-01 1.55e-01 7.61e-03
-1.0 1.58e-11 3.48e-07 4.89e-04 1.61e-02 1.29e-01 6.47e-01 1.94e-01 1.20e-02
-0.9 4.92e-12 1.36e-07 2.40e-04 9.96e-03 1.01e-01 6.32e-01 2.39e-01 1.86e-02
-0.8 1.50e-12 5.19e-08 1.15e-04 6.02e-03 7.66e-02 6.03e-01 2.87e-01 2.81e-02
-0.7 4.43e-13 1.93e-08 5.41e-05 3.55e-03 5.68e-02 5.62e-01 3.36e-01 4.15e-02
-0.6 1.28e-13 7.03e-09 2.48e-05 2.05e-03 4.12e-02 5.11e-01 3.86e-01 5.98e-02
-0.5 3.61e-14 2.49e-09 1.10e-05 1.15e-03 2.91e-02 4.54e-01 4.31e-01 8.42e-02
-0.4 9.88e-15 8.61e-10 4.81e-06 6.29e-04 2.01e-02 3.94e-01 4.70e-01 1.16e-01
-0.3 2.63e-15 2.90e-10 2.04e-06 3.36e-04 1.35e-02 3.32e-01 4.99e-01 1.54e-01
-0.2 6.82e-16 9.51e-11 8.40e-07 1.74e-04 8.81e-03 2.73e-01 5.17e-01 2.01e-01
-0.1 1.72e-16 3.03e-11 3.38e-07 8.81e-05 5.60e-03 2.19e-01 5.21e-01 2.55e-01
0.0 4.20e-17 9.43e-12 1.32e-07 4.34e-05 3.47e-03 1.70e-01 5.11e-01 3.15e-01
0.1 1.00e-17 2.86e-12 5.04e-08 2.08e-05 2.10e-03 1.30e-01 4.89e-01 3.79e-01
0.2 2.33e-18 8.45e-13 1.87e-08 9.76e-06 1.24e-03 9.61e-02 4.57e-01 4.46e-01
0.3 5.28e-19 2.44e-13 6.82e-09 4.47e-06 7.13e-04 6.97e-02 4.17e-01 5.13e-01
0.4 1.17e-19 6.91e-14 2.43e-09 2.01e-06 4.03e-04 4.96e-02 3.73e-01 5.77e-01
0.5 2.56e-20 1.92e-14 8.50e-10 8.83e-07 2.23e-04 3.46e-02 3.27e-01 6.38e-01
0.6 5.50e-21 5.25e-15 2.93e-10 3.82e-07 1.22e-04 2.37e-02 2.83e-01 6.93e-01
0.7 1.16e-21 1.42e-15 9.92e-11 1.63e-07 6.54e-05 1.60e-02 2.41e-01 7.43e-01
0.8 2.43e-22 3.77e-16 3.32e-11 6.88e-08 3.47e-05 1.07e-02 2.02e-01 7.87e-01
0.9 5.05e-23 9.92e-17 1.10e-11 2.87e-08 1.82e-05 7.09e-03 1.68e-01 8.24e-01
1.0 1.04e-23 2.59e-17 3.62e-12 1.19e-08 9.50e-06 4.64e-03 1.39e-01 8.56e-01
1.1 2.12e-24 6.71e-18 1.18e-12 4.88e-09 4.91e-06 3.02e-03 1.14e-01 8.83e-01
1.2 4.32e-25 1.73e-18 3.83e-13 1.99e-09 2.52e-06 1.96e-03 9.28e-02 9.05e-01
1.3 8.75e-26 4.43e-19 1.24e-13 8.09e-10 1.29e-06 1.26e-03 7.52e-02 9.24e-01
1.4 1.77e-26 1.13e-19 3.97e-14 3.28e-10 6.57e-07 8.07e-04 6.07e-02 9.39e-01
1.5 3.56e-27 2.88e-20 1.27e-14 1.32e-10 3.34e-07 5.16e-04 4.88e-02 9.51e-01
1.6 7.16e-28 7.31e-21 4.07e-15 5.31e-11 1.69e-07 3.29e-04 3.92e-02 9.60e-01
1.7 1.44e-28 1.85e-21 1.30e-15 2.13e-11 8.54e-08 2.09e-04 3.14e-02 9.68e-01
1.8 2.88e-29 4.68e-22 4.13e-16 8.55e-12 4.31e-08 1.33e-04 2.51e-02 9.75e-01
1.9 5.78e-30 1.18e-22 1.31e-16 3.42e-12 2.17e-08 8.43e-05 2.00e-02 9.80e-01
2.0 1.16e-30 2.98e-23 4.17e-17 1.37e-12 1.09e-08 5.34e-05 1.60e-02 9.84e-01
2.1 2.31e-31 7.52e-24 1.32e-17 5.46e-13 5.49e-09 3.38e-05 1.27e-02 9.87e-01
2.2 4.62e-32 1.89e-24 4.19e-18 2.18e-13 2.76e-09 2.14e-05 1.01e-02 9.90e-01
2.3 9.24e-33 4.77e-25 1.33e-18 8.70e-14 1.39e-09 1.35e-05 8.08e-03 9.92e-01
2.4 1.85e-33 1.20e-25 4.21e-19 3.47e-14 6.96e-10 8.54e-06 6.43e-03 9.94e-01
2.5 0.00e+00 3.02e-26 1.33e-19 1.38e-14 3.49e-10 5.39e-06 5.11e-03 9.95e-01
2.6 0.00e+00 7.58e-27 4.22e-20 5.51e-15 1.75e-10 3.41e-06 4.06e-03 9.96e-01
2.7 0.00e+00 1.91e-27 1.33e-20 2.19e-15 8.78e-11 2.15e-06 3.23e-03 9.97e-01
2.8 0.00e+00 4.79e-28 4.22e-21 8.74e-16 4.40e-11 1.36e-06 2.57e-03 9.97e-01
2.9 0.00e+00 1.20e-28 1.34e-21 3.48e-16 2.21e-11 8.56e-07 2.04e-03 9.98e-01
3.0 0.00e+00 3.02e-29 4.22e-22 1.38e-16 1.11e-11 5.40e-07 1.62e-03 9.98e-01
3.1 0.00e+00 7.59e-30 1.34e-22 5.51e-17 5.54e-12 3.41e-07 1.29e-03 9.99e-01
3.2 0.00e+00 1.91e-30 4.22e-23 2.19e-17 2.78e-12 2.15e-07 1.02e-03 9.99e-01
3.3 0.00e+00 4.79e-31 1.33e-23 8.73e-18 1.39e-12 1.36e-07 8.14e-04 9.99e-01
3.4 0.00e+00 1.20e-31 4.22e-24 3.48e-18 6.97e-13 8.56e-08 6.46e-04 9.99e-01
3.5 0.00e+00 3.02e-32 1.33e-24 1.38e-18 3.49e-13 5.40e-08 5.14e-04 9.99e-01
3.6 0.00e+00 7.58e-33 4.22e-25 5.51e-19 1.75e-13 3.41e-08 4.08e-04 1.00e+00
3.7 0.00e+00 1.90e-33 1.33e-25 2.19e-19 8.77e-14 2.15e-08 3.24e-04 1.00e+00
3.8 0.00e+00 0.00e+00 4.22e-26 8.73e-20 4.40e-14 1.36e-08 2.57e-04 1.00e+00
3.9 0.00e+00 0.00e+00 1.33e-26 3.47e-20 2.20e-14 8.55e-09 2.05e-04 1.00e+00
4.0 0.00e+00 0.00e+00 4.22e-27 1.38e-20 1.10e-14 5.39e-09 1.62e-04 1.00e+00
4.1 0.00e+00 0.00e+00 1.33e-27 5.50e-21 5.53e-15 3.40e-09 1.29e-04 1.00e+00
4.2 0.00e+00 0.00e+00 4.22e-28 2.19e-21 2.77e-15 2.15e-09 1.03e-04 1.00e+00
4.3 0.00e+00 0.00e+00 1.33e-28 8.72e-22 1.39e-15 1.35e-09 8.14e-05 1.00e+00
4.4 0.00e+00 0.00e+00 4.21e-29 3.47e-22 6.96e-16 8.55e-10 6.47e-05 1.00e+00
4.5 0.00e+00 0.00e+00 1.33e-29 1.38e-22 3.49e-16 5.39e-10 5.14e-05 1.00e+00
4.6 0.00e+00 0.00e+00 4.21e-30 5.50e-23 1.75e-16 3.40e-10 4.08e-05 1.00e+00
