U I1 I2 I3 I4 I5 I6 I7 I8 I9
-10.0 9.85e-01 1.48e-02 6.65e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.9 9.83e-01 1.66e-02 8.44e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.8 9.81e-01 1.87e-02 1.07e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.7 9.79e-01 2.11e-02 1.36e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.6 9.76e-01 2.37e-02 1.72e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.5 9.73e-01 2.66e-02 2.17e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.4 9.70e-01 2.99e-02 2.74e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.3 9.66e-01 3.36e-02 3.45e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.2 9.62e-01 3.76e-02 4.35e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.1 9.58e-01 4.21e-02 5.47e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-9.0 9.53e-01 4.71e-02 6.88e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.9 9.47e-01 5.27e-02 8.64e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.8 9.41e-01 5.89e-02 1.08e-04 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.7 9.34e-01 6.57e-02 1.36e-04 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.6 9.27e-01 7.32e-02 1.70e-04 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.5 9.18e-01 8.15e-02 2.13e-04 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.4 9.09e-01 9.07e-02 2.66e-04 2.48e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.3 8.99e-01 1.01e-01 3.33e-04 3.20e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.2 8.88e-01 1.12e-01 4.15e-04 4.14e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.1 8.76e-01 1.24e-01 5.17e-04 5.37e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-8.0 8.62e-01 1.37e-01 6.43e-04 6.96e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.9 8.48e-01 1.51e-01 7.99e-04 9.05e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.8 8.32e-01 1.67e-01 9.92e-04 1.18e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.7 8.15e-01 1.84e-01 1.23e-03 1.53e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.6 7.97e-01 2.02e-01 1.52e-03 2.00e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.5 7.77e-01 2.21e-01 1.88e-03 2.62e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.4 7.56e-01 2.42e-01 2.31e-03 3.43e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.3 7.33e-01 2.64e-01 2.84e-03 4.50e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.2 7.09e-01 2.88e-01 3.49e-03 5.92e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.1 6.83e-01 3.12e-01 4.27e-03 7.79e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-7.0 6.57e-01 3.38e-01 5.22e-03 1.03e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.9 6.29e-01 3.65e-01 6.37e-03 1.35e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.8 6.00e-01 3.93e-01 7.74e-03 1.79e-05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.7 5.70e-01 4.21e-01 9.39e-03 2.37e-05 3.13e-08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.6 5.39e-01 4.50e-01 1.14e-02 3.14e-05 4.32e-08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.5 5.07e-01 4.79e-01 1.37e-02 4.17e-05 5.96e-08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.4 4.75e-01 5.08e-01 1.65e-02 5.54e-05 8.23e-08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.3 4.43e-01 5.37e-01 1.98e-02 7.36e-05 1.14e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.2 4.10e-01 5.66e-01 2.38e-02 9.81e-05 1.57e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.1 3.78e-01 5.93e-01 2.84e-02 1.31e-04 2.17e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-6.0 3.47e-01 6.19e-01 3.39e-02 1.75e-04 3.01e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.9 3.15e-01 6.44e-01 4.03e-02 2.34e-04 4.17e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.8 2.85e-01 6.67e-01 4.78e-02 3.13e-04 5.81e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.7 2.56e-01 6.87e-01 5.66e-02 4.21e-04 8.11e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.6 2.28e-01 7.04e-01 6.69e-02 5.66e-04 1.14e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.5 2.02e-01 7.19e-01 7.89e-02 7.64e-04 1.60e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.4 1.77e-01 7.29e-01 9.29e-02 1.03e-03 2.27e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.3 1.53e-01 7.36e-01 1.09e-01 1.40e-03 3.25e-06 5.17e-08 0.00e+00 0.00e+00 0.00e+00
-5.2 1.32e-01 7.38e-01 1.28e-01 1.91e-03 4.68e-06 8.21e-08 0.00e+00 0.00e+00 0.00e+00
-5.1 1.12e-01 7.36e-01 1.50e-01 2.60e-03 6.80e-06 1.32e-07 0.00e+00 0.00e+00 0.00e+00
-5.0 9.42e-02 7.28e-01 1.75e-01 3.55e-03 9.97e-06 2.12e-07 0.00e+00 0.00e+00 0.00e+00
-4.9 7.81e-02 7.14e-01 2.03e-01 4.87e-03 1.48e-05 3.45e-07 0.00e+00 0.00e+00 0.00e+00
-4.8 6.39e-02 6.95e-01 2.35e-01 6.68e-03 2.21e-05 5.64e-07 0.00e+00 0.00e+00 0.00e+00
-4.7 5.15e-02 6.69e-01 2.70e-01 9.17e-03 3.34e-05 9.30e-07 0.00e+00 0.00e+00 0.00e+00
-4.6 4.08e-02 6.37e-01 3.09e-01 1.26e-02 5.10e-05 1.54e-06 0.00e+00 0.00e+00 0.00e+00
-4.5 3.18e-02 5.99e-01 3.52e-01 1.72e-02 7.86e-05 2.56e-06 0.00e+00 0.00e+00 0.00e+00
-4.4 2.43e-02 5.56e-01 3.96e-01 2.35e-02 1.22e-04 4.27e-06 0.00e+00 0.00e+00 0.00e+00
-4.3 1.83e-02 5.08e-01 4.41e-01 3.18e-02 1.90e-04 7.12e-06 0.00e+00 0.00e+00 0.00e+00
-4.2 1.34e-02 4.57e-01 4.86e-01 4.28e-02 2.98e-04 1.19e-05 0.00e+00 0.00e+00 0.00e+00
-4.1 9.68e-03 4.05e-01 5.28e-01 5.71e-02 4.66e-04 1.97e-05 0.00e+00 0.00e+00 0.00e+00
-4.0 6.83e-03 3.52e-01 5.65e-01 7.53e-02 7.29e-04 3.26e-05 0.00e+00 0.00e+00 0.00e+00
-3.9 4.71e-03 3.00e-01 5.96e-01 9.81e-02 1.13e-03 5.37e-05 0.00e+00 0.00e+00 0.00e+00
-3.8 3.18e-03 2.51e-01 6.18e-01 1.26e-01 1.75e-03 8.77e-05 1.08e-06 0.00e+00 0.00e+00
-3.7 2.11e-03 2.06e-01 6.30e-01 1.59e-01 2.69e-03 1.42e-04 2.09e-06 0.00e+00 0.00e+00
-3.6 1.36e-03 1.66e-01 6.30e-01 1.98e-01 4.08e-03 2.29e-04 4.00e-06 0.00e+00 0.00e+00
