#depth	H  1	H  2	H2
 5.00000e-02	1.45e-10	1.00e+00	1.01e-34
 1.45000e-01	1.45e-10	1.00e+00	1.01e-34
 2.30500e-01	1.45e-10	1.00e+00	1.01e-34
 3.07450e-01	1.45e-10	1.00e+00	1.01e-34
 3.76705e-01	1.45e-10	1.00e+00	1.01e-34
 4.39034e-01	1.45e-10	1.00e+00	1.01e-34
 4.95131e-01	1.45e-10	1.00e+00	1.01e-34
 5.45618e-01	1.45e-10	1.00e+00	1.01e-34
 5.91056e-01	1.45e-10	1.00e+00	1.01e-34
 6.31951e-01	1.45e-10	1.00e+00	1.01e-34
 6.68755e-01	1.45e-10	1.00e+00	1.01e-34
 7.01880e-01	1.45e-10	1.00e+00	1.01e-34
 7.31692e-01	1.45e-10	1.00e+00	1.01e-34
 7.58523e-01	1.45e-10	1.00e+00	1.01e-34
 7.82670e-01	1.45e-10	1.00e+00	1.01e-34
 8.04403e-01	1.45e-10	1.00e+00	1.01e-34
 8.23963e-01	1.45e-10	1.00e+00	1.01e-34
 8.41567e-01	1.45e-10	1.00e+00	1.01e-34
 8.57410e-01	1.45e-10	1.00e+00	1.01e-34
 8.71669e-01	1.45e-10	1.00e+00	1.01e-34
 8.84502e-01	1.45e-10	1.00e+00	1.01e-34
 8.96052e-01	1.45e-10	1.00e+00	1.01e-34
 9.06523e-01	1.45e-10	1.00e+00	1.01e-34
 9.16523e-01	1.45e-10	1.00e+00	1.01e-34
 9.26523e-01	1.45e-10	1.00e+00	1.01e-34
 9.36523e-01	1.45e-10	1.00e+00	1.01e-34
 9.46523e-01	1.45e-10	1.00e+00	1.01e-34
 9.56523e-01	1.45e-10	1.00e+00	1.01e-34
 9.66523e-01	1.45e-10	1.00e+00	1.01e-34
 9.76523e-01	1.45e-10	1.00e+00	1.01e-34
 9.86523e-01	1.45e-10	1.00e+00	1.01e-34
 9.95761e-01	1.45e-10	1.00e+00	1.01e-34
