#depth	Fe 1	Fe 2	Fe 3	Fe 4	Fe 5	Fe 6	Fe 7	Fe 8	Fe 9	Fe10	Fe11	Fe12	Fe13	Fe14	Fe15	Fe16	Fe17	Fe18	Fe19	Fe20	Fe21	Fe22	Fe23	Fe24	Fe25	Fe26	Fe27
 5.00000e-02	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 1.45000e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 2.30500e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 3.07450e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 3.76705e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 4.39034e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 4.95131e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 5.45618e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 5.91056e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 6.31951e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 6.68755e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 7.01880e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 7.31692e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 7.58523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 7.82670e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 8.04403e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 8.23963e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
