U xi T_e I1 I2 I3 I4 I5 I6 I7
1.042679e-10 9.221183e-09 1.000000e+04 9.60e-01 3.97e-02 6.38e-06 1.50e-08 5.71e-12 1.33e-18 2.76e-24
1.605648e-10 1.419994e-08 1.000000e+04 9.58e-01 4.18e-02 8.70e-06 2.08e-08 1.02e-11 3.12e-18 2.76e-24
2.472581e-10 2.186687e-08 1.000000e+04 9.56e-01 4.44e-02 1.17e-05 2.85e-08 1.77e-11 6.96e-18 2.76e-24
3.807592e-10 3.367337e-08 1.000000e+04 9.52e-01 4.78e-02 1.60e-05 3.95e-08 3.11e-11 1.58e-17 2.76e-24
5.863412e-10 5.185452e-08 1.000000e+04 9.48e-01 5.18e-02 2.15e-05 5.43e-08 5.31e-11 3.42e-17 3.99e-24
9.029224e-10 7.985215e-08 1.000000e+04 9.43e-01 5.70e-02 2.97e-05 7.63e-08 9.35e-11 7.67e-17 1.15e-23
1.390434e-09 1.229664e-07 1.000000e+04 9.37e-01 6.33e-02 4.10e-05 1.08e-07 1.64e-10 1.70e-16 3.22e-23
2.141167e-09 1.893593e-07 1.000000e+04 9.29e-01 7.07e-02 5.64e-05 1.51e-07 2.82e-10 3.68e-16 8.73e-23
3.297239e-09 2.915994e-07 1.000000e+04 9.20e-01 8.03e-02 7.92e-05 2.17e-07 5.00e-10 8.24e-16 2.47e-22
5.077506e-09 4.490417e-07 1.000000e+04 9.09e-01 9.10e-02 1.09e-04 3.06e-07 8.58e-10 1.75e-15 6.50e-22
7.818986e-09 6.914912e-07 1.000000e+04 8.95e-01 1.05e-01 1.57e-04 4.50e-07 1.56e-09 4.02e-15 1.89e-21
1.204066e-08 1.064846e-06 1.000000e+04 8.78e-01 1.22e-01 2.26e-04 6.60e-07 2.81e-09 9.13e-15 5.39e-21
1.854174e-08 1.639784e-06 1.000000e+04 8.57e-01 1.42e-01 3.25e-04 9.69e-07 5.08e-09 2.07e-14 1.53e-20
2.855291e-08 2.525147e-06 1.000000e+04 8.34e-01 1.66e-01 4.64e-04 1.41e-06 9.04e-09 4.58e-14 4.22e-20
4.396939e-08 3.888541e-06 1.000000e+04 8.05e-01 1.94e-01 6.77e-04 2.10e-06 1.66e-08 1.06e-13 1.22e-19
6.770963e-08 5.988067e-06 1.000000e+04 7.72e-01 2.27e-01 9.85e-04 3.13e-06 3.03e-08 2.43e-13 3.53e-19
1.042679e-07 9.221183e-06 1.000000e+04 7.36e-01 2.63e-01 1.41e-03 4.57e-06 5.40e-08 5.37e-13 9.72e-19
1.605648e-07 1.419994e-05 1.000000e+04 6.91e-01 3.07e-01 2.06e-03 6.86e-06 1.00e-07 1.26e-12 2.88e-18
2.472581e-07 2.186687e-05 1.000000e+04 6.42e-01 3.55e-01 3.00e-03 1.03e-05 1.84e-07 2.93e-12 8.48e-18
3.807592e-07 3.367337e-05 1.000000e+04 5.89e-01 4.07e-01 4.34e-03 1.53e-05 3.38e-07 6.81e-12 2.50e-17
5.863412e-07 5.185452e-05 1.000000e+04 5.34e-01 4.59e-01 6.14e-03 2.25e-05 6.00e-07 1.52e-11 7.03e-17
9.029224e-07 7.985215e-05 1.000000e+04 4.73e-01 5.18e-01 8.85e-03 3.40e-05 1.11e-06 3.62e-11 2.14e-16
1.390434e-06 1.229664e-04 1.000000e+04 4.11e-01 5.76e-01 1.27e-02 5.15e-05 2.05e-06 8.61e-11 6.58e-16
2.141167e-06 1.893593e-04 1.000000e+04 3.50e-01 6.32e-01 1.80e-02 7.86e-05 3.80e-06 2.07e-10 2.05e-15
