U xi T_e total recomb ff compton DR DI lines Adiabatic
1.042679e-10 9.221183e-09 1.000000e+04 9.37e-13 6.99e-16 3.80e-16 4.78e-25 0.00e+00 5.74e-20 9.36e-13 3.09e-16
1.605648e-10 1.419994e-08 1.000000e+04 1.11e-12 9.79e-16 5.32e-16 7.36e-25 0.00e+00 5.74e-20 1.11e-12 3.09e-16
2.472581e-10 2.186687e-08 1.000000e+04 1.32e-12 1.38e-15 7.49e-16 1.13e-24 0.00e+00 5.74e-20 1.31e-12 3.09e-16
3.807592e-10 3.367337e-08 1.000000e+04 1.58e-12 2.00e-15 1.09e-15 1.75e-24 0.00e+00 5.74e-20 1.58e-12 3.09e-16
5.863412e-10 5.185452e-08 1.000000e+04 1.90e-12 2.88e-15 1.57e-15 2.69e-24 0.00e+00 5.74e-20 1.90e-12 3.09e-16
9.029224e-10 7.985215e-08 1.000000e+04 2.32e-12 4.29e-15 2.33e-15 4.14e-24 0.00e+00 5.74e-20 2.31e-12 3.09e-16
1.390434e-09 1.229664e-07 1.000000e+04 2.82e-12 6.39e-15 3.47e-15 6.37e-24 0.00e+00 5.74e-20 2.81e-12 3.09e-16
2.141167e-09 1.893593e-07 1.000000e+04 3.43e-12 9.45e-15 5.14e-15 9.81e-24 0.00e+00 5.74e-20 3.42e-12 3.09e-16
3.297239e-09 2.915994e-07 1.000000e+04 4.21e-12 1.43e-14 7.77e-15 1.51e-23 0.00e+00 5.74e-20 4.19e-12 3.09e-16
5.077506e-09 4.490417e-07 1.000000e+04 5.11e-12 2.10e-14 1.14e-14 2.33e-23 0.00e+00 5.74e-20 5.08e-12 3.09e-16
7.818986e-09 6.914912e-07 1.000000e+04 6.31e-12 3.23e-14 1.75e-14 3.58e-23 0.00e+00 5.74e-20 6.26e-12 3.09e-16
1.204066e-08 1.064846e-06 1.000000e+04 7.77e-12 4.91e-14 2.67e-14 5.52e-23 0.00e+00 5.74e-20 7.69e-12 3.09e-16
1.854174e-08 1.639784e-06 1.000000e+04 9.54e-12 7.44e-14 4.05e-14 8.50e-23 0.00e+00 5.74e-20 9.42e-12 3.09e-16
2.855291e-08 2.525147e-06 1.000000e+04 1.16e-11 1.11e-13 6.05e-14 1.31e-22 0.00e+00 5.74e-20 1.15e-11 3.09e-16
4.396939e-08 3.888541e-06 1.000000e+04 1.43e-11 1.69e-13 9.21e-14 2.02e-22 0.00e+00 5.74e-20 1.40e-11 3.09e-16
6.770963e-08 5.988067e-06 1.000000e+04 1.75e-11 2.56e-13 1.39e-13 3.10e-22 0.00e+00 5.74e-20 1.71e-11 3.09e-16
1.042679e-07 9.221183e-06 1.000000e+04 2.11e-11 3.79e-13 2.06e-13 4.78e-22 0.00e+00 5.74e-20 2.05e-11 3.09e-16
1.605648e-07 1.419994e-05 1.000000e+04 2.57e-11 5.73e-13 3.11e-13 7.36e-22 0.00e+00 5.74e-20 2.48e-11 3.09e-16
2.472581e-07 2.186687e-05 1.000000e+04 3.11e-11 8.57e-13 4.65e-13 1.13e-21 0.00e+00 5.74e-20 2.98e-11 3.09e-16
3.807592e-07 3.367337e-05 1.000000e+04 3.74e-11 1.27e-12 6.90e-13 1.75e-21 0.00e+00 5.74e-20 3.54e-11 3.09e-16
5.863412e-07 5.185452e-05 1.000000e+04 4.42e-11 1.83e-12 9.95e-13 2.69e-21 0.00e+00 5.74e-20 4.14e-11 3.09e-16
9.029224e-07 7.985215e-05 1.000000e+04 5.24e-11 2.68e-12 1.45e-12 4.14e-21 0.00e+00 5.74e-20 4.83e-11 3.09e-16
1.390434e-06 1.229664e-04 1.000000e+04 6.14e-11 3.85e-12 2.09e-12 6.37e-21 0.00e+00 5.74e-20 5.54e-11 3.09e-16
2.141167e-06 1.893593e-04 1.000000e+04 7.08e-11 5.44e-12 2.95e-12 9.81e-21 0.00e+00 5.74e-20 6.24e-11 3.09e-16
3.297239e-06 2.915994e-04 1.000000e+04 8.04e-11 7.54e-12 4.08e-12 1.51e-20 0.00e+00 5.74e-20 6.88e-11 3.09e-16
5.077506e-06 4.490417e-04 1.000000e+04 8.96e-11 1.02e-11 5.52e-12 2.33e-20 0.00e+00 5.74e-20 7.38e-11 3.09e-16
7.818986e-06 6.914912e-04 1.000000e+04 9.76e-11 1.34e-11 7.26e-12 3.58e-20 0.00e+00 5.74e-20 7.69e-11 3.09e-16
1.204066e-05 1.064846e-03 1.000000e+04 1.04e-10 1.70e-11 9.17e-12 5.52e-20 0.00e+00 5.74e-20 7.75e-11 3.09e-16
1.854174e-05 1.639784e-03 1.000000e+04 1.08e-10 2.11e-11 1.13e-11 8.50e-20 0.00e+00 5.74e-20 7.51e-11 3.09e-16
2.855291e-05 2.525147e-03 1.000000e+04 1.09e-10 2.53e-11 1.36e-11 1.31e-19 0.00e+00 5.74e-20 6.97e-11 3.09e-16
4.396939e-05 3.888541e-03 1.000000e+04 1.07e-10 2.93e-11 1.57e-11 2.02e-19 0.00e+00 5.74e-20 6.17e-11 3.09e-16
6.770963e-05 5.988067e-03 1.000000e+04 1.03e-10 3.30e-11 1.75e-11 3.10e-19 0.00e+00 5.74e-20 5.22e-11 3.09e-16
1.042679e-04 9.221183e-03 1.000000e+04 9.72e-11 3.64e-11 1.92e-11 4.78e-19 0.00e+00 5.74e-20 4.15e-11 3.09e-16
1.605648e-04 1.419994e-02 1.000000e+04 9.16e-11 3.94e-11 2.07e-11 7.36e-19 0.00e+00 5.74e-20 3.15e-11 3.09e-16
2.472581e-04 2.186687e-02 1.000000e+04 8.69e-11 4.22e-11 2.20e-11 1.13e-18 0.00e+00 5.74e-20 2.27e-11 3.09e-16
3.807592e-04 3.367337e-02 1.000000e+04 8.38e-11 4.49e-11 2.33e-11 1.75e-18 0.00e+00 5.74e-20 1.55e-11 3.09e-16
5.863412e-04 5.185452e-02 1.000000e+04 8.27e-11 4.75e-11 2.45e-11 2.69e-18 0.00e+00 5.74e-20 1.06e-11 3.09e-16
9.029224e-04 7.985215e-02 1.000000e+04 8.32e-11 4.99e-11 2.56e-11 4.14e-18 0.00e+00 5.74e-20 7.70e-12 3.09e-16
1.390434e-03 1.229664e-01 1.000000e+04 8.47e-11 5.21e-11 2.66e-11 6.37e-18 0.00e+00 5.74e-20 6.02e-12 3.09e-16
2.141167e-03 1.893593e-01 1.000000e+04 8.66e-11 5.40e-11 2.75e-11 9.81e-18 0.00e+00 5.74e-20 5.22e-12 3.09e-16
3.297239e-03 2.915994e-01 1.000000e+04 8.84e-11 5.54e-11 2.82e-11 1.51e-17 0.00e+00 5.74e-20 4.85e-12 3.09e-16
5.077506e-03 4.490417e-01 1.000000e+04 8.98e-11 5.66e-11 2.87e-11 2.33e-17 0.00e+00 5.74e-20 4.56e-12 3.09e-16
7.818986e-03 6.914912e-01 1.000000e+04 9.07e-11 5.74e-11 2.92e-11 3.58e-17 0.00e+00 5.74e-20 4.16e-12 3.09e-16
1.204066e-02 1.064846e+00 1.000000e+04 9.10e-11 5.78e-11 2.95e-11 5.52e-17 0.00e+00 5.74e-20 3.66e-12 3.09e-16
1.854174e-02 1.639784e+00 1.000000e+04 9.10e-11 5.81e-11 2.98e-11 8.50e-17 0.00e+00 5.74e-20 3.13e-12 3.09e-16
2.855291e-02 2.525147e+00 1.000000e+04 9.08e-11 5.81e-11 3.00e-11 1.31e-16 0.00e+00 5.74e-20 2.66e-12 3.09e-16
4.396939e-02 3.888541e+00 1.000000e+04 9.05e-11 5.81e-11 3.02e-11 2.02e-16 0.00e+00 5.74e-20 2.27e-12 3.09e-16
6.770963e-02 5.988067e+00 1.000000e+04 9.03e-11 5.80e-11 3.03e-11 3.10e-16 0.00e+00 5.74e-20 1.98e-12 3.09e-16
