U xi T_e total photo ff compton ind_comp lines auger
1.042679e-10 9.221183e-09 1.000000e+04 1.33e-16 1.33e-16 1.05e-24 6.14e-22 2.92e-29 0.00e+00 7.55e-19
1.605648e-10 1.419994e-08 1.000000e+04 2.05e-16 2.04e-16 1.61e-24 9.46e-22 4.49e-29 0.00e+00 1.16e-18
2.472581e-10 2.186687e-08 1.000000e+04 3.16e-16 3.14e-16 2.48e-24 1.46e-21 6.92e-29 0.00e+00 1.79e-18
3.807592e-10 3.367337e-08 1.000000e+04 4.87e-16 4.84e-16 3.82e-24 2.24e-21 1.07e-28 0.00e+00 2.76e-18
5.863412e-10 5.185452e-08 1.000000e+04 7.50e-16 7.46e-16 5.88e-24 3.45e-21 1.64e-28 0.00e+00 4.25e-18
9.029224e-10 7.985215e-08 1.000000e+04 1.15e-15 1.15e-15 9.05e-24 5.32e-21 2.53e-28 0.00e+00 6.54e-18
1.390434e-09 1.229664e-07 1.000000e+04 1.78e-15 1.77e-15 1.39e-23 8.19e-21 3.89e-28 0.00e+00 1.01e-17
2.141167e-09 1.893593e-07 1.000000e+04 2.74e-15 2.72e-15 2.15e-23 1.26e-20 5.99e-28 0.00e+00 1.55e-17
3.297239e-09 2.915994e-07 1.000000e+04 4.22e-15 4.19e-15 3.30e-23 1.94e-20 9.23e-28 0.00e+00 2.39e-17
5.077506e-09 4.490417e-07 1.000000e+04 6.49e-15 6.46e-15 5.09e-23 2.99e-20 1.42e-27 0.00e+00 3.68e-17
7.818986e-09 6.914912e-07 1.000000e+04 1.00e-14 9.94e-15 7.84e-23 4.61e-20 2.19e-27 0.00e+00 5.66e-17
1.204066e-08 1.064846e-06 1.000000e+04 1.54e-14 1.53e-14 1.21e-22 7.09e-20 3.37e-27 0.00e+00 8.72e-17
1.854174e-08 1.639784e-06 1.000000e+04 2.37e-14 2.36e-14 1.86e-22 1.09e-19 5.19e-27 0.00e+00 1.34e-16
2.855291e-08 2.525147e-06 1.000000e+04 3.65e-14 3.63e-14 2.86e-22 1.68e-19 7.99e-27 0.00e+00 2.07e-16
4.396939e-08 3.888541e-06 1.000000e+04 5.62e-14 5.59e-14 4.41e-22 2.59e-19 1.23e-26 0.00e+00 3.18e-16
6.770963e-08 5.988067e-06 1.000000e+04 8.66e-14 8.61e-14 6.79e-22 3.99e-19 1.89e-26 0.00e+00 4.90e-16
1.042679e-07 9.221183e-06 1.000000e+04 1.33e-13 1.33e-13 1.05e-21 6.14e-19 2.92e-26 0.00e+00 7.55e-16
1.605648e-07 1.419994e-05 1.000000e+04 2.05e-13 2.04e-13 1.61e-21 9.46e-19 4.49e-26 0.00e+00 1.16e-15
2.472581e-07 2.186687e-05 1.000000e+04 3.16e-13 3.14e-13 2.48e-21 1.46e-18 6.92e-26 0.00e+00 1.79e-15
3.807592e-07 3.367337e-05 1.000000e+04 4.87e-13 4.84e-13 3.82e-21 2.24e-18 1.07e-25 0.00e+00 2.76e-15
5.863412e-07 5.185452e-05 1.000000e+04 7.50e-13 7.46e-13 5.88e-21 3.45e-18 1.64e-25 0.00e+00 4.25e-15
9.029224e-07 7.985215e-05 1.000000e+04 1.15e-12 1.15e-12 9.05e-21 5.32e-18 2.53e-25 0.00e+00 6.54e-15
1.390434e-06 1.229664e-04 1.000000e+04 1.78e-12 1.77e-12 1.39e-20 8.19e-18 3.89e-25 0.00e+00 1.01e-14
2.141167e-06 1.893593e-04 1.000000e+04 2.74e-12 2.72e-12 2.15e-20 1.26e-17 5.99e-25 0.00e+00 1.55e-14
3.297239e-06 2.915994e-04 1.000000e+04 4.22e-12 4.19e-12 3.30e-20 1.94e-17 9.23e-25 0.00e+00 2.39e-14
5.077506e-06 4.490417e-04 1.000000e+04 6.49e-12 6.46e-12 5.09e-20 2.99e-17 1.42e-24 0.00e+00 3.68e-14
7.818986e-06 6.914912e-04 1.000000e+04 1.00e-11 9.94e-12 7.84e-20 4.61e-17 2.19e-24 0.00e+00 5.66e-14
1.204066e-05 1.064846e-03 1.000000e+04 1.54e-11 1.53e-11 1.21e-19 7.09e-17 3.37e-24 0.00e+00 8.72e-14
1.854174e-05 1.639784e-03 1.000000e+04 2.37e-11 2.36e-11 1.86e-19 1.09e-16 5.19e-24 0.00e+00 1.34e-13
2.855291e-05 2.525147e-03 1.000000e+04 3.65e-11 3.63e-11 2.86e-19 1.68e-16 7.99e-24 0.00e+00 2.07e-13
4.396939e-05 3.888541e-03 1.000000e+04 5.62e-11 5.59e-11 4.41e-19 2.59e-16 1.23e-23 0.00e+00 3.18e-13
6.770963e-05 5.988067e-03 1.000000e+04 8.66e-11 8.61e-11 6.79e-19 3.99e-16 1.89e-23 0.00e+00 4.90e-13
1.042679e-04 9.221183e-03 1.000000e+04 1.33e-10 1.33e-10 1.05e-18 6.14e-16 2.92e-23 0.00e+00 7.55e-13
1.605648e-04 1.419994e-02 1.000000e+04 2.05e-10 2.04e-10 1.61e-18 9.46e-16 4.49e-23 0.00e+00 1.16e-12
2.472581e-04 2.186687e-02 1.000000e+04 3.16e-10 3.14e-10 2.48e-18 1.46e-15 6.92e-23 0.00e+00 1.79e-12
