U xi T_e I1 I2 I3
1.042679e-10 9.221183e-09 1.000000e+04 9.98e-01 2.21e-03 7.61e-08
1.605648e-10 1.419994e-08 1.000000e+04 9.97e-01 2.89e-03 1.31e-07
2.472581e-10 2.186687e-08 1.000000e+04 9.96e-01 3.72e-03 2.16e-07
3.807592e-10 3.367337e-08 1.000000e+04 9.95e-01 4.79e-03 3.59e-07
5.863412e-10 5.185452e-08 1.000000e+04 9.94e-01 6.05e-03 5.75e-07
9.029224e-10 7.985215e-08 1.000000e+04 9.92e-01 7.72e-03 9.35e-07
1.390434e-09 1.229664e-07 1.000000e+04 9.90e-01 9.76e-03 1.50e-06
2.141167e-09 1.893593e-07 1.000000e+04 9.88e-01 1.22e-02 2.35e-06
3.297239e-09 2.915994e-07 1.000000e+04 9.85e-01 1.54e-02 3.73e-06
5.077506e-09 4.490417e-07 1.000000e+04 9.81e-01 1.90e-02 5.72e-06
7.818986e-09 6.914912e-07 1.000000e+04 9.76e-01 2.39e-02 9.10e-06
1.204066e-08 1.064846e-06 1.000000e+04 9.70e-01 2.98e-02 1.43e-05
1.854174e-08 1.639784e-06 1.000000e+04 9.63e-01 3.71e-02 2.23e-05
2.855291e-08 2.525147e-06 1.000000e+04 9.54e-01 4.58e-02 3.42e-05
4.396939e-08 3.888541e-06 1.000000e+04 9.43e-01 5.69e-02 5.35e-05
6.770963e-08 5.988067e-06 1.000000e+04 9.29e-01 7.04e-02 8.32e-05
1.042679e-07 9.221183e-06 1.000000e+04 9.14e-01 8.62e-02 1.27e-04
1.605648e-07 1.419994e-05 1.000000e+04 8.93e-01 1.07e-01 1.98e-04
2.472581e-07 2.186687e-05 1.000000e+04 8.69e-01 1.31e-01 3.08e-04
3.807592e-07 3.367337e-05 1.000000e+04 8.39e-01 1.60e-01 4.78e-04
5.863412e-07 5.185452e-05 1.000000e+04 8.06e-01 1.94e-01 7.25e-04
9.029224e-07 7.985215e-05 1.000000e+04 7.63e-01 2.35e-01 1.13e-03
1.390434e-06 1.229664e-04 1.000000e+04 7.14e-01 2.84e-01 1.76e-03
2.141167e-06 1.893593e-04 1.000000e+04 6.58e-01 3.40e-01 2.73e-03
3.297239e-06 2.915994e-04 1.000000e+04 5.94e-01 4.02e-01 4.24e-03
5.077506e-06 4.490417e-04 1.000000e+04 5.24e-01 4.70e-01 6.57e-03
7.818986e-06 6.914912e-04 1.000000e+04 4.49e-01 5.41e-01 1.02e-02
1.204066e-05 1.064846e-03 1.000000e+04 3.75e-01 6.09e-01 1.54e-02
