U xi T_e I1 I2
1.042679e-10 9.221183e-09 1.000000e+04 9.96e-01 4.26e-03
1.605648e-10 1.419994e-08 1.000000e+04 9.95e-01 5.03e-03
2.472581e-10 2.186687e-08 1.000000e+04 9.94e-01 5.96e-03
3.807592e-10 3.367337e-08 1.000000e+04 9.93e-01 7.17e-03
5.863412e-10 5.185452e-08 1.000000e+04 9.91e-01 8.60e-03
9.029224e-10 7.985215e-08 1.000000e+04 9.90e-01 1.05e-02
1.390434e-09 1.229664e-07 1.000000e+04 9.87e-01 1.28e-02
2.141167e-09 1.893593e-07 1.000000e+04 9.84e-01 1.55e-02
3.297239e-09 2.915994e-07 1.000000e+04 9.81e-01 1.91e-02
5.077506e-09 4.490417e-07 1.000000e+04 9.77e-01 2.31e-02
7.818986e-09 6.914912e-07 1.000000e+04 9.71e-01 2.86e-02
1.204066e-08 1.064846e-06 1.000000e+04 9.65e-01 3.53e-02
1.854174e-08 1.639784e-06 1.000000e+04 9.57e-01 4.34e-02
2.855291e-08 2.525147e-06 1.000000e+04 9.47e-01 5.31e-02
4.396939e-08 3.888541e-06 1.000000e+04 9.35e-01 6.55e-02
6.770963e-08 5.988067e-06 1.000000e+04 9.19e-01 8.05e-02
1.042679e-07 9.221183e-06 1.000000e+04 9.02e-01 9.79e-02
1.605648e-07 1.419994e-05 1.000000e+04 8.80e-01 1.20e-01
2.472581e-07 2.186687e-05 1.000000e+04 8.53e-01 1.47e-01
3.807592e-07 3.367337e-05 1.000000e+04 8.21e-01 1.79e-01
5.863412e-07 5.185452e-05 1.000000e+04 7.85e-01 2.15e-01
9.029224e-07 7.985215e-05 1.000000e+04 7.40e-01 2.60e-01
1.390434e-06 1.229664e-04 1.000000e+04 6.89e-01 3.11e-01
2.141167e-06 1.893593e-04 1.000000e+04 6.30e-01 3.70e-01
3.297239e-06 2.915994e-04 1.000000e+04 5.66e-01 4.34e-01
5.077506e-06 4.490417e-04 1.000000e+04 4.96e-01 5.04e-01
7.818986e-06 6.914912e-04 1.000000e+04 4.23e-01 5.77e-01
1.204066e-05 1.064846e-03 1.000000e+04 3.52e-01 6.48e-01
1.854174e-05 1.639784e-03 1.000000e+04 2.81e-01 7.19e-01
2.855291e-05 2.525147e-03 1.000000e+04 2.17e-01 7.83e-01
4.396939e-05 3.888541e-03 1.000000e+04 1.61e-01 8.39e-01
6.770963e-05 5.988067e-03 1.000000e+04 1.17e-01 8.83e-01
1.042679e-04 9.221183e-03 1.000000e+04 8.20e-02 9.18e-01
1.605648e-04 1.419994e-02 1.000000e+04 5.67e-02 9.43e-01
2.472581e-04 2.186687e-02 1.000000e+04 3.83e-02 9.62e-01
3.807592e-04 3.367337e-02 1.000000e+04 2.52e-02 9.75e-01
5.863412e-04 5.185452e-02 1.000000e+04 1.65e-02 9.83e-01
9.029224e-04 7.985215e-02 1.000000e+04 1.10e-02 9.89e-01
1.390434e-03 1.229664e-01 1.000000e+04 7.22e-03 9.93e-01
2.141167e-03 1.893593e-01 1.000000e+04 4.72e-03 9.95e-01
3.297239e-03 2.915994e-01 1.000000e+04 3.14e-03 9.97e-01
5.077506e-03 4.490417e-01 1.000000e+04 2.05e-03 9.98e-01
7.818986e-03 6.914912e-01 1.000000e+04 1.34e-03 9.99e-01
1.204066e-02 1.064846e+00 1.000000e+04 8.70e-04 9.99e-01
1.854174e-02 1.639784e+00 1.000000e+04 5.66e-04 9.99e-01
2.855291e-02 2.525147e+00 1.000000e+04 3.68e-04 1.00e+00
4.396939e-02 3.888541e+00 1.000000e+04 2.39e-04 1.00e+00
6.770963e-02 5.988067e+00 1.000000e+04 1.56e-04 1.00e+00
1.042679e-01 9.221183e+00 1.000000e+04 1.01e-04 1.00e+00
1.605648e-01 1.419994e+01 1.000000e+04 6.57e-05 1.00e+00
2.472581e-01 2.186687e+01 1.000000e+04 4.27e-05 1.00e+00
3.807592e-01 3.367337e+01 1.000000e+04 2.77e-05 1.00e+00
5.863412e-01 5.185452e+01 1.000000e+04 1.80e-05 1.00e+00
9.029224e-01 7.985215e+01 1.000000e+04 1.17e-05 1.00e+00
1.390434e+00 1.229664e+02 1.000000e+04 7.60e-06 1.00e+00
2.141167e+00 1.893593e+02 1.000000e+04 4.93e-06 1.00e+00
3.297239e+00 2.915994e+02 1.000000e+04 3.21e-06 1.00e+00
5.077506e+00 4.490417e+02 1.000000e+04 2.08e-06 1.00e+00
7.818986e+00 6.914912e+02 1.000000e+04 1.35e-06 1.00e+00
1.204066e+01 1.064846e+03 1.000000e+04 8.78e-07 1.00e+00
1.854174e+01 1.639784e+03 1.000000e+04 5.70e-07 1.00e+00
2.855291e+01 2.525147e+03 1.000000e+04 3.70e-07 1.00e+00
4.396939e+01 3.888541e+03 1.000000e+04 2.41e-07 1.00e+00
6.770963e+01 5.988067e+03 1.000000e+04 1.56e-07 1.00e+00
1.042679e+02 9.221183e+03 1.000000e+04 1.01e-07 1.00e+00
1.605648e+02 1.419994e+04 1.000000e+04 6.59e-08 1.00e+00
2.472581e+02 2.186687e+04 1.000000e+04 4.28e-08 1.00e+00
3.807592e+02 3.367337e+04 1.000000e+04 2.78e-08 1.00e+00
5.863412e+02 5.185452e+04 1.000000e+04 1.80e-08 1.00e+00
9.029224e+02 7.985215e+04 1.000000e+04 1.17e-08 1.00e+00
1.390434e+03 1.229664e+05 1.000000e+04 7.61e-09 1.00e+00
2.141167e+03 1.893593e+05 1.000000e+04 4.94e-09 1.00e+00
3.297239e+03 2.915994e+05 1.000000e+04 3.21e-09 1.00e+00
5.077506e+03 4.490417e+05 1.000000e+04 2.08e-09 1.00e+00
7.818986e+03 6.914912e+05 1.000000e+04 1.35e-09 1.00e+00
1.204066e+04 1.064846e+06 1.000000e+04 8.79e-10 1.00e+00
1.854174e+04 1.639784e+06 1.000000e+04 5.71e-10 1.00e+00
2.855291e+04 2.525147e+06 1.000000e+04 3.71e-10 1.00e+00
4.396939e+04 3.888541e+06 1.000000e+04 2.41e-10 1.00e+00
6.770963e+04 5.988067e+06 1.000000e+04 1.56e-10 1.00e+00
1.042679e+05 9.221183e+06 1.000000e+04 1.01e-10 1.00e+00
