U xi T_e I1 I2 I3 I4 I5 I6 I7 I8 I9 I10 I11 I12 I13 I14 I15 I16 I17 I18 I19 I20 I21 I22 I23 I24 I25 I26 I27
1.042679e-10 9.221183e-09 1.000000e+04 1.25e-01 8.72e-01 2.68e-03 1.62e-06 1.51e-10 3.36e-15 2.32e-20 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.605648e-10 1.419994e-08 1.000000e+04 1.25e-01 8.71e-01 3.48e-03 2.76e-06 3.37e-10 9.84e-15 8.91e-20 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
2.472581e-10 2.186687e-08 1.000000e+04 1.25e-01 8.71e-01 4.45e-03 4.54e-06 7.14e-10 2.68e-14 3.12e-19 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
3.807592e-10 3.367337e-08 1.000000e+04 1.25e-01 8.70e-01 5.70e-03 7.50e-06 1.52e-09 7.36e-14 1.10e-18 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
5.863412e-10 5.185452e-08 1.000000e+04 1.25e-01 8.68e-01 7.18e-03 1.20e-05 3.07e-09 1.88e-13 3.58e-18 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
9.029224e-10 7.985215e-08 1.000000e+04 1.24e-01 8.67e-01 9.12e-03 1.94e-05 6.36e-09 4.98e-13 1.21e-17 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.390434e-09 1.229664e-07 1.000000e+04 1.24e-01 8.65e-01 1.15e-02 3.10e-05 1.29e-08 1.28e-12 3.93e-17 7.34e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
2.141167e-09 1.893593e-07 1.000000e+04 1.23e-01 8.62e-01 1.44e-02 4.86e-05 2.53e-08 3.14e-12 1.21e-16 2.84e-22 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
3.297239e-09 2.915994e-07 1.000000e+04 1.23e-01 8.59e-01 1.80e-02 7.70e-05 5.06e-08 7.94e-12 3.87e-16 1.14e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
5.077506e-09 4.490417e-07 1.000000e+04 1.22e-01 8.55e-01 2.22e-02 1.18e-04 9.60e-08 1.87e-11 1.13e-15 4.13e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
