U xi T_e I1 I2 I3 I4 I5 I6 I7 I8
1.042679e-10 9.221183e-09 1.000000e+04 9.94e-01 6.28e-03 4.04e-06 1.16e-09 5.83e-13 2.82e-16 2.23e-23 8.93e-24
1.605648e-10 1.419994e-08 1.000000e+04 9.92e-01 8.09e-03 6.09e-06 1.97e-09 1.15e-12 6.27e-16 6.51e-23 8.93e-24
2.472581e-10 2.186687e-08 1.000000e+04 9.90e-01 1.03e-02 9.07e-06 3.24e-09 2.21e-12 1.33e-15 1.77e-22 8.93e-24
3.807592e-10 3.367337e-08 1.000000e+04 9.87e-01 1.31e-02 1.37e-05 5.35e-09 4.32e-12 2.83e-15 4.88e-22 8.93e-24
5.863412e-10 5.185452e-08 1.000000e+04 9.84e-01 1.64e-02 2.05e-05 8.58e-09 8.16e-12 5.75e-15 1.25e-21 8.93e-24
9.029224e-10 7.985215e-08 1.000000e+04 9.79e-01 2.07e-02 3.13e-05 1.40e-08 1.59e-11 1.20e-14 3.34e-21 8.93e-24
1.390434e-09 1.229664e-07 1.000000e+04 9.74e-01 2.60e-02 4.75e-05 2.26e-08 3.07e-11 2.45e-14 8.66e-21 8.93e-24
2.141167e-09 1.893593e-07 1.000000e+04 9.68e-01 3.23e-02 7.14e-05 3.57e-08 5.78e-11 4.87e-14 2.16e-20 8.93e-24
3.297239e-09 2.915994e-07 1.000000e+04 9.60e-01 4.04e-02 1.09e-04 5.74e-08 1.12e-10 9.91e-14 5.54e-20 8.93e-24
5.077506e-09 4.490417e-07 1.000000e+04 9.50e-01 4.95e-02 1.62e-04 8.94e-08 2.05e-10 1.92e-13 1.33e-19 8.93e-24
7.818986e-09 6.914912e-07 1.000000e+04 9.38e-01 6.17e-02 2.50e-04 1.45e-07 4.01e-10 3.94e-13 3.45e-19 8.93e-24
1.204066e-08 1.064846e-06 1.000000e+04 9.23e-01 7.62e-02 3.82e-04 2.34e-07 7.71e-10 8.00e-13 8.81e-19 8.93e-24
1.854174e-08 1.639784e-06 1.000000e+04 9.06e-01 9.36e-02 5.81e-04 3.76e-07 1.47e-09 1.62e-12 2.23e-18 8.93e-24
2.855291e-08 2.525147e-06 1.000000e+04 8.85e-01 1.14e-01 8.70e-04 5.98e-07 2.74e-09 3.21e-12 5.52e-18 8.93e-24
4.396939e-08 3.888541e-06 1.000000e+04 8.60e-01 1.39e-01 1.32e-03 9.77e-07 5.25e-09 6.62e-12 1.43e-17 8.93e-24
6.770963e-08 5.988067e-06 1.000000e+04 8.30e-01 1.68e-01 2.00e-03 1.60e-06 9.97e-09 1.37e-11 3.71e-17 2.12e-23
1.042679e-07 9.221183e-06 1.000000e+04 7.96e-01 2.01e-01 2.96e-03 2.57e-06 1.83e-08 2.75e-11 9.27e-17 6.59e-23
1.605648e-07 1.419994e-05 1.000000e+04 7.55e-01 2.41e-01 4.46e-03 4.30e-06 3.51e-08 5.84e-11 2.49e-16 2.24e-22
2.472581e-07 2.186687e-05 1.000000e+04 7.08e-01 2.86e-01 6.66e-03 7.22e-06 6.63e-08 1.25e-10 6.73e-16 7.65e-22
3.807592e-07 3.367337e-05 1.000000e+04 6.55e-01 3.35e-01 9.88e-03 1.22e-05 1.25e-07 2.68e-10 1.83e-15 2.64e-21
5.863412e-07 5.185452e-05 1.000000e+04 6.00e-01 3.86e-01 1.43e-02 2.02e-05 2.27e-07 5.61e-10 4.83e-15 8.75e-21
9.029224e-07 7.985215e-05 1.000000e+04 5.37e-01 4.42e-01 2.10e-02 3.50e-05 4.30e-07 1.25e-09 1.38e-14 3.22e-20
1.390434e-06 1.229664e-04 1.000000e+04 4.70e-01 5.00e-01 3.05e-02 6.10e-05 8.09e-07 2.82e-09 4.02e-14 1.21e-19
2.141167e-06 1.893593e-04 1.000000e+04 4.02e-01 5.54e-01 4.39e-02 1.07e-04 1.52e-06 6.47e-09 1.20e-13 4.66e-19
3.297239e-06 2.915994e-04 1.000000e+04 3.34e-01 6.04e-01 6.25e-02 1.90e-04 2.86e-06 1.51e-08 3.66e-13 1.87e-18
5.077506e-06 4.490417e-04 1.000000e+04 2.68e-01 6.43e-01 8.83e-02 3.40e-04 5.41e-06 3.59e-08 1.16e-12 7.82e-18
7.818986e-06 6.914912e-04 1.000000e+04 2.08e-01 6.69e-01 1.23e-01 6.16e-04 1.03e-05 8.77e-08 3.79e-12 3.44e-17
1.204066e-05 1.064846e-03 1.000000e+04 1.56e-01 6.76e-01 1.67e-01 1.10e-03 1.92e-05 2.11e-07 1.23e-11 1.50e-16
1.854174e-05 1.639784e-03 1.000000e+04 1.10e-01 6.61e-01 2.28e-01 2.02e-03 3.73e-05 5.44e-07 4.40e-11 7.48e-16
2.855291e-05 2.525147e-03 1.000000e+04 7.27e-02 6.21e-01 3.03e-01 3.74e-03 7.32e-05 1.43e-06 1.64e-10 3.94e-15
4.396939e-05 3.888541e-03 1.000000e+04 4.53e-02 5.57e-01 3.91e-01 6.88e-03 1.44e-04 3.81e-06 6.28e-10 2.18e-14
6.770963e-05 5.988067e-03 1.000000e+04 2.68e-02 4.77e-01 4.84e-01 1.22e-02 2.79e-04 9.82e-06 2.34e-09 1.17e-13
1.042679e-04 9.221183e-03 1.000000e+04 1.45e-02 3.84e-01 5.80e-01 2.15e-02 5.56e-04 2.62e-05 9.28e-09 6.92e-13
1.605648e-04 1.419994e-02 1.000000e+04 7.49e-03 2.94e-01 6.61e-01 3.63e-02 1.09e-03 6.68e-05 3.52e-08 3.90e-12
2.472581e-04 2.186687e-02 1.000000e+04 3.60e-03 2.13e-01 7.21e-01 5.97e-02 2.17e-03 1.70e-04 1.35e-07 2.26e-11
3.807592e-04 3.367337e-02 1.000000e+04 1.58e-03 1.45e-01 7.53e-01 9.57e-02 4.47e-03 4.36e-04 5.34e-07 1.38e-10
5.863412e-04 5.185452e-02 1.000000e+04 6.64e-04 9.34e-02 7.49e-01 1.46e-01 9.16e-03 1.09e-03 2.05e-06 8.15e-10
9.029224e-04 7.985215e-02 1.000000e+04 2.77e-04 5.87e-02 7.11e-01 2.09e-01 1.79e-02 2.55e-03 7.25e-06 4.34e-09
1.390434e-03 1.229664e-01 1.000000e+04 1.06e-04 3.44e-02 6.37e-01 2.87e-01 3.49e-02 5.99e-03 2.60e-05 2.39e-08
2.141167e-03 1.893593e-01 1.000000e+04 3.78e-05 1.88e-02 5.34e-01 3.68e-01 6.51e-02 1.37e-02 9.13e-05 1.28e-07
3.297239e-03 2.915994e-01 1.000000e+04 1.30e-05 9.73e-03 4.16e-01 4.33e-01 1.12e-01 2.93e-02 2.94e-04 6.23e-07
5.077506e-03 4.490417e-01 1.000000e+04 3.86e-06 4.43e-03 2.91e-01 4.64e-01 1.79e-01 6.11e-02 9.42e-04 3.05e-06
7.818986e-03 6.914912e-01 1.000000e+04 1.01e-06 1.79e-03 1.80e-01 4.40e-01 2.57e-01 1.18e-01 2.80e-03 1.39e-05
1.204066e-02 1.064846e+00 1.000000e+04 2.31e-07 6.27e-04 9.70e-02 3.64e-01 3.23e-01 2.08e-01 7.54e-03 5.77e-05
1.854174e-02 1.639784e+00 1.000000e+04 4.55e-08 1.89e-04 4.50e-02 2.60e-01 3.52e-01 3.25e-01 1.81e-02 2.13e-04
2.855291e-02 2.525147e+00 1.000000e+04 7.72e-09 4.94e-05 1.81e-02 1.61e-01 3.33e-01 4.49e-01 3.86e-02 6.98e-04
4.396939e-02 3.888541e+00 1.000000e+04 1.15e-09 1.13e-05 6.36e-03 8.69e-02 2.76e-01 5.55e-01 7.33e-02 2.04e-03
6.770963e-02 5.988067e+00 1.000000e+04 1.52e-10 2.31e-06 2.00e-03 4.20e-02 2.05e-01 6.20e-01 1.26e-01 5.39e-03
1.042679e-01 9.221183e+00 1.000000e+04 1.83e-11 4.26e-07 5.68e-04 1.84e-02 1.38e-01 6.32e-01 1.98e-01 1.30e-02
1.605648e-01 1.419994e+01 1.000000e+04 2.00e-12 7.19e-08 1.48e-04 7.35e-03 8.48e-02 5.93e-01 2.86e-01 2.90e-02
2.472581e-01 2.186687e+01 1.000000e+04 2.01e-13 1.11e-08 3.51e-05 2.69e-03 4.78e-02 5.11e-01 3.79e-01 5.92e-02
3.807592e-01 3.367337e+01 1.000000e+04 1.85e-14 1.57e-09 7.63e-06 9.01e-04 2.46e-02 4.03e-01 4.60e-01 1.11e-01
5.863412e-01 5.185452e+01 1.000000e+04 1.56e-15 2.02e-10 1.51e-06 2.74e-04 1.15e-02 2.90e-01 5.10e-01 1.89e-01
9.029224e-01 7.985215e+01 1.000000e+04 9.45e-17 2.35e-11 2.71e-07 7.58e-05 4.90e-03 1.90e-01 5.13e-01 2.92e-01
