U xi T_e I1 I2 I3 I4 I5 I6 I7 I8 I9
1.042679e-10 9.221183e-09 1.000000e+04 9.86e-01 1.37e-02 6.03e-06 3.23e-09 2.98e-13 2.97e-16 2.50e-20 1.18e-24 1.18e-24
1.605648e-10 1.419994e-08 1.000000e+04 9.82e-01 1.76e-02 9.73e-06 5.48e-09 6.31e-13 6.61e-16 6.94e-20 1.18e-24 1.18e-24
2.472581e-10 2.186687e-08 1.000000e+04 9.78e-01 2.22e-02 1.53e-05 9.02e-09 1.28e-12 1.40e-15 1.81e-19 1.18e-24 1.18e-24
3.807592e-10 3.367337e-08 1.000000e+04 9.72e-01 2.82e-02 2.44e-05 1.50e-08 2.63e-12 3.00e-15 4.81e-19 1.18e-24 1.18e-24
5.863412e-10 5.185452e-08 1.000000e+04 9.65e-01 3.52e-02 3.78e-05 2.41e-08 5.17e-12 6.12e-15 1.20e-18 1.18e-24 1.18e-24
9.029224e-10 7.985215e-08 1.000000e+04 9.56e-01 4.42e-02 5.97e-05 3.97e-08 1.04e-11 1.29e-14 3.08e-18 1.18e-24 1.18e-24
1.390434e-09 1.229664e-07 1.000000e+04 9.45e-01 5.51e-02 9.31e-05 6.45e-08 2.06e-11 2.65e-14 7.72e-18 1.18e-24 1.18e-24
2.141167e-09 1.893593e-07 1.000000e+04 9.32e-01 6.79e-02 1.42e-04 1.03e-07 3.96e-11 5.32e-14 1.86e-17 3.29e-24 1.18e-24
3.297239e-09 2.915994e-07 1.000000e+04 9.16e-01 8.39e-02 2.21e-04 1.68e-07 7.75e-11 1.10e-13 4.60e-17 1.03e-23 1.18e-24
5.077506e-09 4.490417e-07 1.000000e+04 8.98e-01 1.02e-01 3.30e-04 2.65e-07 1.44e-10 2.15e-13 1.06e-16 2.93e-23 1.18e-24
7.818986e-09 6.914912e-07 1.000000e+04 8.74e-01 1.25e-01 5.10e-04 4.38e-07 2.82e-10 4.49e-13 2.62e-16 9.19e-23 1.18e-24
1.204066e-08 1.064846e-06 1.000000e+04 8.47e-01 1.52e-01 7.76e-04 7.18e-07 5.40e-10 9.27e-13 6.32e-16 2.78e-22 1.18e-24
1.854174e-08 1.639784e-06 1.000000e+04 8.15e-01 1.83e-01 1.17e-03 1.18e-06 1.02e-09 1.91e-12 1.50e-15 8.30e-22 1.18e-24
2.855291e-08 2.525147e-06 1.000000e+04 7.80e-01 2.18e-01 1.73e-03 1.91e-06 1.89e-09 3.85e-12 3.45e-15 2.37e-21 1.18e-24
4.396939e-08 3.888541e-06 1.000000e+04 7.38e-01 2.59e-01 2.58e-03 3.17e-06 3.56e-09 8.08e-12 8.20e-15 7.09e-21 1.18e-24
6.770963e-08 5.988067e-06 1.000000e+04 6.91e-01 3.05e-01 3.80e-03 5.28e-06 6.62e-09 1.69e-11 1.92e-14 2.08e-20 1.18e-24
1.042679e-07 9.221183e-06 1.000000e+04 6.42e-01 3.52e-01 5.45e-03 8.61e-06 1.19e-08 3.43e-11 4.30e-14 5.81e-20 1.18e-24
1.605648e-07 1.419994e-05 1.000000e+04 5.86e-01 4.06e-01 7.94e-03 1.46e-05 2.21e-08 7.37e-11 1.01e-13 1.73e-19 1.18e-24
2.472581e-07 2.186687e-05 1.000000e+04 5.27e-01 4.62e-01 1.14e-02 2.46e-05 4.07e-08 1.58e-10 2.36e-13 5.10e-19 1.18e-24
3.807592e-07 3.367337e-05 1.000000e+04 4.66e-01 5.18e-01 1.62e-02 4.16e-05 7.42e-08 3.38e-10 5.47e-13 1.50e-18 1.18e-24
5.863412e-07 5.185452e-05 1.000000e+04 4.08e-01 5.70e-01 2.24e-02 6.87e-05 1.31e-07 7.03e-10 1.22e-12 4.20e-18 3.39e-24
9.029224e-07 7.985215e-05 1.000000e+04 3.47e-01 6.22e-01 3.13e-02 1.18e-04 2.41e-07 1.55e-09 2.89e-12 1.28e-17 1.32e-23
1.390434e-06 1.229664e-04 1.000000e+04 2.89e-01 6.67e-01 4.34e-02 2.03e-04 4.42e-07 3.44e-09 6.89e-12 3.92e-17 5.24e-23
2.141167e-06 1.893593e-04 1.000000e+04 2.35e-01 7.05e-01 5.95e-02 3.50e-04 8.17e-07 7.74e-09 1.66e-11 1.23e-16 2.14e-22
3.297239e-06 2.915994e-04 1.000000e+04 1.86e-01 7.32e-01 8.09e-02 6.08e-04 1.53e-06 1.77e-08 4.12e-11 4.00e-16 9.09e-22
5.077506e-06 4.490417e-04 1.000000e+04 1.43e-01 7.46e-01 1.09e-01 1.07e-03 2.91e-06 4.12e-08 1.05e-10 1.35e-15 4.08e-21
7.818986e-06 6.914912e-04 1.000000e+04 1.06e-01 7.45e-01 1.47e-01 1.89e-03 5.69e-06 9.85e-08 2.80e-10 4.84e-15 1.96e-20
1.204066e-05 1.064846e-03 1.000000e+04 7.71e-02 7.27e-01 1.93e-01 3.30e-03 1.11e-05 2.33e-07 7.48e-10 1.74e-14 9.48e-20
1.854174e-05 1.639784e-03 1.000000e+04 5.25e-02 6.88e-01 2.53e-01 5.98e-03 2.33e-05 5.90e-07 2.22e-09 7.18e-14 5.44e-19
2.855291e-05 2.525147e-03 1.000000e+04 3.38e-02 6.28e-01 3.27e-01 1.09e-02 5.06e-05 1.53e-06 6.96e-09 3.19e-13 3.42e-18
4.396939e-05 3.888541e-03 1.000000e+04 2.05e-02 5.48e-01 4.12e-01 1.96e-02 1.13e-04 4.02e-06 2.30e-08 1.51e-12 2.34e-17
6.770963e-05 5.988067e-03 1.000000e+04 1.19e-02 4.58e-01 4.96e-01 3.39e-02 2.52e-04 1.03e-05 7.53e-08 7.18e-12 1.60e-16
1.042679e-04 9.221183e-03 1.000000e+04 6.22e-03 3.57e-01 5.77e-01 5.85e-02 5.87e-04 2.72e-05 2.67e-07 3.78e-11 1.26e-15
1.605648e-04 1.419994e-02 1.000000e+04 3.10e-03 2.65e-01 6.35e-01 9.55e-02 1.32e-03 6.89e-05 9.14e-07 1.93e-10 9.52e-15
2.472581e-04 2.186687e-02 1.000000e+04 1.42e-03 1.83e-01 6.62e-01 1.50e-01 2.98e-03 1.74e-04 3.17e-06 1.01e-09 7.51e-14
3.807592e-04 3.367337e-02 1.000000e+04 5.87e-04 1.17e-01 6.49e-01 2.26e-01 6.65e-03 4.44e-04 1.12e-05 5.50e-09 6.32e-13
5.863412e-04 5.185452e-02 1.000000e+04 2.27e-04 6.94e-02 5.96e-01 3.19e-01 1.41e-02 1.10e-03 3.81e-05 2.88e-08 5.08e-12
9.029224e-04 7.985215e-02 1.000000e+04 8.61e-05 3.97e-02 5.14e-01 4.16e-01 2.72e-02 2.54e-03 1.17e-04 1.33e-07 3.55e-11
1.390434e-03 1.229664e-01 1.000000e+04 2.95e-05 2.08e-02 4.12e-01 5.10e-01 5.05e-02 5.89e-03 3.57e-04 6.22e-07 2.54e-10
2.141167e-03 1.893593e-01 1.000000e+04 9.35e-06 1.01e-02 3.07e-01 5.81e-01 8.75e-02 1.33e-02 1.05e-03 2.80e-06 1.75e-09
3.297239e-03 2.915994e-01 1.000000e+04 2.87e-06 4.68e-03 2.14e-01 6.12e-01 1.38e-01 2.81e-02 2.85e-03 1.15e-05 1.08e-08
5.077506e-03 4.490417e-01 1.000000e+04 7.72e-07 1.93e-03 1.35e-01 5.92e-01 2.04e-01 5.81e-02 7.71e-03 4.75e-05 6.87e-08
7.818986e-03 6.914912e-01 1.000000e+04 1.86e-07 7.14e-04 7.69e-02 5.17e-01 2.73e-01 1.12e-01 1.98e-02 1.87e-04 4.15e-07
1.204066e-02 1.064846e+00 1.000000e+04 3.95e-08 2.33e-04 3.85e-02 3.98e-01 3.22e-01 1.94e-01 4.68e-02 6.80e-04 2.32e-06
1.854174e-02 1.639784e+00 1.000000e+04 7.18e-09 6.50e-05 1.65e-02 2.62e-01 3.27e-01 2.93e-01 9.93e-02 2.22e-03 1.16e-05
2.855291e-02 2.525147e+00 1.000000e+04 1.10e-09 1.53e-05 5.99e-03 1.46e-01 2.80e-01 3.77e-01 1.84e-01 6.33e-03 5.10e-05
4.396939e-02 3.888541e+00 1.000000e+04 1.42e-10 3.04e-06 1.83e-03 6.88e-02 2.03e-01 4.14e-01 2.97e-01 1.57e-02 1.94e-04
6.770963e-02 5.988067e+00 1.000000e+04 1.58e-11 5.19e-07 4.81e-04 2.78e-02 1.26e-01 3.93e-01 4.18e-01 3.40e-02 6.49e-04
1.042679e-01 9.221183e+00 1.000000e+04 1.53e-12 7.77e-08 1.11e-04 9.86e-03 6.87e-02 3.28e-01 5.26e-01 6.58e-02 1.93e-03
1.605648e-01 1.419994e+01 1.000000e+04 1.34e-13 1.04e-08 2.29e-05 3.13e-03 3.36e-02 2.46e-01 5.97e-01 1.15e-01 5.20e-03
2.472581e-01 2.186687e+01 1.000000e+04 1.05e-14 1.27e-09 4.28e-06 9.02e-04 1.49e-02 1.67e-01 6.20e-01 1.84e-01 1.28e-02
3.807592e-01 3.367337e+01 1.000000e+04 9.53e-16 1.41e-10 7.32e-07 2.38e-04 6.04e-03 1.04e-01 5.91e-01 2.70e-01 2.89e-02
5.863412e-01 5.185452e+01 1.000000e+04 7.75e-17 1.43e-11 1.14e-07 5.72e-05 2.24e-03 5.94e-02 5.16e-01 3.63e-01 5.98e-02
9.029224e-01 7.985215e+01 1.000000e+04 6.64e-17 1.32e-12 1.63e-08 1.25e-05 7.54e-04 3.08e-02 4.11e-01 4.45e-01 1.13e-01
1.390434e+00 1.229664e+02 1.000000e+04 2.57e-17 1.11e-13 2.10e-09 2.49e-06 2.31e-04 1.45e-02 2.97e-01 4.95e-01 1.93e-01
