U xi T_e Lum N_e convergence
1.042679e-10 9.221183e-09 1.000000e+04 2.207000e+20 4.585270e+04 0
1.605648e-10 1.419994e-08 1.000000e+04 3.398618e+20 5.426559e+04 0
2.472581e-10 2.186687e-08 1.000000e+04 5.233622e+20 6.442056e+04 0
3.807592e-10 3.367337e-08 1.000000e+04 8.059393e+20 7.757539e+04 0
5.863412e-10 5.185452e-08 1.000000e+04 1.241087e+21 9.315989e+04 0
9.029224e-10 7.985215e-08 1.000000e+04 1.911183e+21 1.135892e+05 0
1.390434e-09 1.229664e-07 1.000000e+04 2.943082e+21 1.386603e+05 0
2.141167e-09 1.893593e-07 1.000000e+04 4.532130e+21 1.686837e+05 0
3.297239e-09 2.915994e-07 1.000000e+04 6.979147e+21 2.073536e+05 0
5.077506e-09 4.490417e-07 1.000000e+04 1.074737e+22 2.516804e+05 0
7.818986e-09 6.914912e-07 1.000000e+04 1.655017e+22 3.116285e+05 0
1.204066e-08 1.064846e-06 1.000000e+04 2.548604e+22 3.843471e+05 0
1.854174e-08 1.639784e-06 1.000000e+04 3.924663e+22 4.732362e+05 0
2.855291e-08 2.525147e-06 1.000000e+04 6.043692e+22 5.788062e+05 0
4.396939e-08 3.888541e-06 1.000000e+04 9.306842e+22 7.139228e+05 0
6.770963e-08 5.988067e-06 1.000000e+04 1.433185e+23 8.778671e+05 0
1.042679e-07 9.221183e-06 1.000000e+04 2.207000e+23 1.067399e+06 0
1.605648e-07 1.419994e-05 1.000000e+04 3.398618e+23 1.312275e+06 0
2.472581e-07 2.186687e-05 1.000000e+04 5.233622e+23 1.605005e+06 0
3.807592e-07 3.367337e-05 1.000000e+04 8.059393e+23 1.954199e+06 0
5.863412e-07 5.185452e-05 1.000000e+04 1.241087e+24 2.345947e+06 0
9.029224e-07 7.985215e-05 1.000000e+04 1.911183e+24 2.835815e+06 0
1.390434e-06 1.229664e-04 1.000000e+04 2.943082e+24 3.399915e+06 0
2.141167e-06 1.893593e-04 1.000000e+04 4.532130e+24 4.039920e+06 0
3.297239e-06 2.915994e-04 1.000000e+04 6.979147e+24 4.751352e+06 0
5.077506e-06 4.490417e-04 1.000000e+04 1.074737e+25 5.521740e+06 0
7.818986e-06 6.914912e-04 1.000000e+04 1.655017e+25 6.329406e+06 0
1.204066e-05 1.064846e-03 1.000000e+04 2.548604e+25 7.109159e+06 0
1.854174e-05 1.639784e-03 1.000000e+04 3.924663e+25 7.902355e+06 0
2.855291e-05 2.525147e-03 1.000000e+04 6.043692e+25 8.630439e+06 0
4.396939e-05 3.888541e-03 1.000000e+04 9.306842e+25 9.265052e+06 0
6.770963e-05 5.988067e-03 1.000000e+04 1.433185e+26 9.777177e+06 0
1.042679e-04 9.221183e-03 1.000000e+04 2.207000e+26 1.020956e+07 0
1.605648e-04 1.419994e-02 1.000000e+04 3.398618e+26 1.054421e+07 0
2.472581e-04 2.186687e-02 1.000000e+04 5.233622e+26 1.081947e+07 0
3.807592e-04 3.367337e-02 1.000000e+04 8.059393e+26 1.105601e+07 0
5.863412e-04 5.185452e-02 1.000000e+04 1.241087e+27 1.125592e+07 0
9.029224e-04 7.985215e-02 1.000000e+04 1.911183e+27 1.141967e+07 0
1.390434e-03 1.229664e-01 1.000000e+04 2.943082e+27 1.156309e+07 0
2.141167e-03 1.893593e-01 1.000000e+04 4.532130e+27 1.168049e+07 0
3.297239e-03 2.915994e-01 1.000000e+04 6.979147e+27 1.176946e+07 0
5.077506e-03 4.490417e-01 1.000000e+04 1.074737e+28 1.183988e+07 0
7.818986e-03 6.914912e-01 1.000000e+04 1.655017e+28 1.189200e+07 0
1.204066e-02 1.064846e+00 1.000000e+04 2.548604e+28 1.193008e+07 0
